subject,list,item,list_type,category,intrusion,position,trial_type
51,1,printer,heavy,obj,0,11.0,recall
51,1,blender,heavy,obj,0,12.0,recall
51,2,flower,light,obj,[],1.0,study
51,2,football,light,obj,[],2.0,study
51,2,balloon,light,obj,[],3.0,study
51,2,Lil Wayne,light,cel,[],4.0,study
51,2,Cameron Diaz,light,cel,[],5.0,study
51,2,Larry King,light,cel,[],6.0,study
51,2,Shanghai,light,loc,[],7.0,study
51,2,Arc de Triomphe,light,loc,[],8.0,study
51,2,Wimbledon,light,loc,[],9.0,study
51,2,Matt Damon,light,cel,[],10.0,study
51,2,Usher,light,cel,[],11.0,study
51,2,Will Smith,light,cel,[],12.0,study
51,2,Everglades,light,loc,[],13.0,study
51,2,Redwood Forest,light,loc,[],14.0,study
51,2,Great Wall of China,light,loc,[],15.0,study
51,2,bicycle,light,obj,[],16.0,study
51,2,bell,light,obj,[],17.0,study
51,2,birdhouse,light,obj,[],18.0,study
51,2,Big Ben,light,loc,[],19.0,study
51,2,Vienna,light,loc,[],20.0,study
51,2,Niagara Falls,light,loc,[],21.0,study
51,2,safe,light,obj,[],22.0,study
51,2,towel,light,obj,[],23.0,study
51,2,onion,light,obj,[],24.0,study
51,2,Tom Cruise,light,cel,[],25.0,study
51,2,Scarlett Johansson,light,cel,[],26.0,study
51,2,Ian McKellan,light,cel,[],27.0,study
51,2,Tom Cruise,light,cel,0,1.0,recall
51,2,Scarlett Johansson,light,cel,0,2.0,recall
51,2,Big Ben,light,loc,0,3.0,recall
51,2,bicycle,light,obj,0,4.0,recall
51,2,bell,light,obj,0,5.0,recall
51,2,Vienna,light,loc,0,6.0,recall
51,2,Usher,light,cel,0,7.0,recall
51,2,Will Smith,light,cel,0,8.0,recall
51,2,Cameron Diaz,light,cel,0,9.0,recall
51,2,Lil Wayne,light,cel,0,10.0,recall
51,2,towel,light,obj,0,11.0,recall
51,2,balloon,light,obj,0,12.0,recall
51,2,flower,light,obj,0,13.0,recall
51,2,football,light,obj,0,14.0,recall
51,3,lantern,heavy,obj,[],1.0,study
51,3,dollar,heavy,obj,[],2.0,study
51,3,crayon,heavy,obj,[],3.0,study
51,3,Anne Hathaway,heavy,cel,[],4.0,study
51,3,Vin Diesel,heavy,cel,[],5.0,study
51,3,Oprah Winfrey,heavy,cel,[],6.0,study
51,3,Hoover Dam,heavy,loc,[],7.0,study
51,3,Rio de Janeiro,heavy,loc,[],8.0,study
51,3,Monte Carlo,heavy,loc,[],9.0,study
51,3,violin,heavy,obj,[],10.0,study
51,3,vase,heavy,obj,[],11.0,study
51,3,glass,heavy,obj,[],12.0,study
51,3,Bruce Willis,heavy,cel,[],13.0,study
51,3,Kobe Bryant,heavy,cel,[],14.0,study
51,3,Emma Watson,heavy,cel,[],15.0,study
51,3,Quebec,heavy,loc,[],16.0,study
51,3,Atomium,heavy,loc,[],17.0,study
51,3,Grand Central Station,heavy,loc,[],18.0,study
51,3,Kate Winslet,heavy,cel,[],19.0,study
51,3,Alec Baldwin,heavy,cel,[],20.0,study
51,3,Barack Obama,heavy,cel,[],21.0,study
51,3,cigar,heavy,obj,[],22.0,study
51,3,kleenex,heavy,obj,[],23.0,study
51,3,anchor,heavy,obj,[],24.0,study
