,condition,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,familiarity_scale1,familiarity_scale2
64,massed,29,359.76149880029874,0.7552106434204923,0.07983435869744249,0.8117814244165593,0.0797447518555914,0.8633621646067212,0.1852816497215897,89.93152338997929,6.709509294249727,0.0028572035094900166,0.2752008960453922,2.5692930963250924,0.039197562096530046,0.4854102601973981
65,massed,30,336.369002145379,0.8852340918309363,0.3891237861956203,0.9352373780772532,0.8391353438119487,0.04024143472620563,0.9999999999999998,50.14163782240404,43.39086920580486,0.010345463817078614,0.24589006211504183,8.457430781060339,0.02848736948098233,0.8848211378690863
66,massed,31,322.290218861712,0.7765102962191254,0.7721755540089849,0.9943330661870017,0.7563808389786587,0.5720069523310278,0.7093972711540389,3.767015834340789,50.61037470119349,0.00020938500622272568,0.49831369385665136,8.35462406476191,0.27680220491006985,0.8443943457429265
67,massed,32,342.9152836892528,0.7848118561632225,0.6958948436984538,0.9999999999999998,0.5157589265100444,0.5029146125853022,0.46844232660410445,4.330047410470542,47.710107431267424,0.001125461965194321,0.3961165579422492,3.917875174902854,0.5354888021814954,0.8124877573305654
68,massed,33,301.851002974141,0.8270326160586001,0.9997245178459175,0.8620086863396557,0.056703877473971695,0.9744545146225153,0.6323646101170926,0.4058901428919538,50.40078569290009,0.025822832232942544,0.18619429780505156,0.9057083137720056,0.06984328038708447,0.9743100589811519
69,massed,34,168.2475790973877,0.8539625269843711,0.3898393261091133,0.8311973998419705,0.8358550189613859,2.220446049250313e-16,0.7677031899087301,7.388272228291557,56.35917190391384,0.049603649641605616,0.3337422065915268,9.999979528444308,0.2529245799379838,0.6825924351737774
70,spaced,0,270.76451163885065,0.7079620389141998,0.8603608913048382,0.8165425486015849,0.4522042632905505,0.8755451314607221,0.1734114769675485,1.6677958001813882,0.26737989202618373,0.00023376875430575447,0.42637534754621687,9.329686842989153,0.9150994663952905,0.1873751872780345
71,spaced,1,354.97146105791,0.9355780376192622,0.9919586042615536,0.8539104621696589,0.013408243465150934,0.8036485005460966,0.17242597694750245,2.220446049250313e-16,89.53310296020237,0.0031745963484667446,0.32461176826825,0.9704020155192765,0.6276376029541243,0.7349319973713865
72,spaced,2,409.2748335550219,0.8814339028524092,0.26423352660325383,0.9277488646597032,0.5138416025103808,0.8311202296288434,0.5828212647692238,1.6794624687911877,26.09316280515212,7.983805512019582e-05,0.48386694527555907,4.608903701290033,0.9244849545929369,0.8255065989989173
73,spaced,3,318.3167679585146,0.816251185331258,0.20447314507765524,0.9999999999999998,0.3171097055357873,0.3850233357916315,0.471984174458339,4.055268665863948,77.69961670582101,0.012628934911919779,0.2515094582090397,2.3633827576914785,0.9577770396656515,0.34263243509813546
74,spaced,4,387.5385672847601,0.5447563054606405,0.9988088993664118,0.9040161087969666,0.13563334626168058,0.6658093795769454,0.15609318367567473,2.546224872764615,58.82596435965414,0.00024159718169167833,0.5205146631902793,2.073522655006921,0.03975951552779473,0.9844452648107219
75,spaced,5,372.6329597199826,0.7860422932154815,0.6901311453936148,0.9999999999999998,0.6451707510544291,0.7790555155221003,0.4538621907320913,2.1795423371274243,52.97441648210748,8.08010058672806e-05,0.5300733574922347,7.804313855000583,0.4577872898736526,0.6000351592816772
76,spaced,6,205.57318538084073,0.8895877764059785,2.220446049250313e-16,0.9999999999999998,0.22317116560584627,0.5528626392933761,0.1767873439766444,83.98355814320203,65.36753365223154,0.06601656318491288,0.17364192255480546,1.7834554183999365,0.06334154894474771,0.9265301289116039
77,spaced,7,371.87136842865175,0.7777690769444854,0.9994589518279645,0.9071541814760687,0.06015009966125404,0.8622114003996928,0.06159014329511635,42.87167482715544,90.427327696269,0.01121105210566838,0.18328964709381587,1.9122759688950406,0.0008122311999447691,0.23545356060702538
78,spaced,8,303.1566772130313,0.7852105376977522,0.08147015137008501,0.9999999999999998,0.24606381915669745,0.1119071325315647,0.5095285855398098,0.41607060081225405,33.18314620627699,0.014627058416149101,0.16180916642503015,5.08472454618999,0.800617806130894,0.23304794823420427
79,spaced,9,456.2711045798551,0.7034790183253227,0.2147560221151937,0.8971632347864907,0.8939812967446805,0.1794566071527634,0.13471320064650005,3.610361908297193,93.67249678315318,0.0002185268227818296,0.42448429015099526,8.679255312753531,0.5771104168001431,0.4001462873059489
80,spaced,10,303.43858516581906,0.7327597955722074,0.6747895825213666,0.6837573836634625,0.4982126725066807,0.1500334174266212,0.17436750032162937,1.9648696009943913,0.0518872305498904,2.141030463781385e-06,0.6511114071608273,8.897965817632377,0.9193552347252343,0.09256427677009793
81,spaced,11,389.8468307705757,0.5924299783199034,0.9900092717098951,0.9729574367639767,0.002180428722104676,0.0048147258706040036,0.698444971804788,4.853147661142074,1.2085499887836946,0.0029348435092931753,0.29881907280338904,10.0,0.000228241029837604,0.0019179879287264763
82,spaced,12,477.9858326243075,0.7948604311018577,0.4928093590542205,0.9452073227386986,0.2897148118656752,0.232227649045259,0.48692659802649174,2.0157019604562136,29.000188809053,3.672863240029767e-05,0.5105942453462625,2.1857334277091045,0.380708813370994,0.9337484042399273
83,spaced,13,351.0843727696725,0.5857037763367264,0.19198853587647824,0.985421142955087,0.02258531085452711,0.8131580567051274,0.2557526473302397,64.58876320322828,1.4471329670005422,0.00026928404143226637,0.4178054644516576,2.8687445864462857,0.09069687090196317,0.14328969755981283
84,spaced,14,391.79946669440216,0.8177366884134591,0.9176913444702567,0.8200516278280823,0.8261687663990357,0.0038358006752621785,0.26686470285006153,2.220446049250313e-16,11.286734053229178,0.0016699659349429451,0.34297738036709385,8.090022076416917,0.6604940847491829,0.7733482002930646
85,spaced,15,322.8036908931219,0.7218787739577391,0.5894702256314426,0.9266539352228014,0.6661700062400726,0.5741162980757316,0.20479230548770672,2.9906092289033657,0.3400692728442167,0.00322941681713206,0.29443813331307234,6.952311635959708,0.8534692356255253,0.45911045234444636
86,spaced,16,304.9520310863484,0.8035616502417524,0.7549072714505313,0.9794834421312488,0.0654049753511338,0.9598673612370521,0.32625556558997915,18.977972300647984,0.8852663155922652,0.0003884797326983986,0.41332977618136857,2.0797326380008037,0.9964611706786156,0.7648195715535189
87,spaced,17,349.2486161492526,0.7870946174969923,0.9849932688291415,0.8780402258429183,0.07145266517455874,0.9099580812630198,0.2954745385298083,1.1955258645057405,0.18961808282844805,5.292588601954544e-05,0.5006976733555741,2.7807310015743125,0.9300106934930343,0.16624597954977297
88,spaced,18,329.9564582405836,0.8014795871209395,0.9999999999999998,0.8849662564975023,0.2298253175443692,0.6019391275341461,0.7095434314878095,0.8012128836535725,27.50254116097286,0.003123856237569578,0.3868951962155858,2.227864353625627,0.7082426731491687,0.8088564481092713
89,spaced,19,449.62246188434483,0.8682840922596193,0.5476493141425363,0.9758744178685113,0.46955968265901166,0.1606899481240739,0.40425737388511673,3.6342189586669775,90.76009314073693,0.0005494407399803114,0.40022055396864964,3.2992107186333057,0.701507996819999,0.5342929401951712
90,spaced,20,234.01846974228044,0.9722675810574634,0.6003769132488745,0.9946798549562367,0.0002703764388003471,2.220446049250313e-16,0.03591011033441236,8.775117216848992,41.43888758660681,0.05571642835017678,0.15538416594674692,0.3080662667040411,0.9999999999999998,0.7056145674441011
91,spaced,21,315.8276976585562,0.9237393510216961,0.999952573771218,0.9992738670332573,0.002107700413864594,0.6649672632101212,0.020216324467296615,2.220446049250313e-16,67.33311492921493,0.01918225398740907,0.2160037362895399,0.3013037634099883,0.9999999999999998,0.7602234162203251
92,spaced,22,282.80975190332316,0.5875625261926215,0.5967250785459602,0.8586451086528695,0.07565900136904162,0.24402103830507343,2.220446049250313e-16,21.669342578430218,84.6950199212768,0.008970283529854118,0.39281897888231887,0.7449883356104197,0.8916410718468019,0.9485326307770539
93,spaced,23,344.77681633411527,0.8566172444653531,0.3204910068059937,0.9521799234460875,0.13567647653986173,0.7905479976713282,0.38156926612112685,13.089031533380407,1.0914063770540599,0.006069273133490215,0.2565768678810478,1.8014677105416463,0.9999999999999998,0.551778044566084
94,spaced,24,226.16223277111038,0.6529011384267158,0.7990439734366345,0.9665379579278505,0.022110708826582774,0.9039549525307713,0.21060781903793632,0.8824109473116306,1.0743289385353363,0.00010656417033147781,1.1083410810107945,1.9221243138523967,0.34065539595081307,0.22037702094994788
95,spaced,25,250.5746261685141,0.28642851854243206,0.999838763622215,0.9171996435574266,0.005569333923563693,0.999703497535964,0.0034298019102272288,5.515496892032531,69.19866282759817,0.041346548384224316,0.19229167460099594,4.9781081932012645,0.00043540675953536646,0.010065888147773306
96,spaced,26,350.37724311664556,0.793377224651753,0.3230261552417822,0.872972264556049,0.8908369624183273,2.220446049250313e-16,0.3070892320384625,20.886031673475426,0.03448944681717726,0.0008647660646118451,0.3391718210034993,8.316146952950248,0.14208615624697277,0.06808141335118255
97,spaced,27,259.26268709033207,0.6232846659258218,2.220446049250313e-16,0.8970316447810053,0.8214306078193739,0.3998538296614923,0.09043247162768614,28.547496819776295,33.80610190735007,0.013731487352189741,0.35733797981721815,8.103916801348216,0.16323316680343575,0.6258613454565735
98,spaced,28,338.96487347645825,0.913624860630174,0.2496627505240473,0.8854345179486964,0.5789842780361246,2.220446049250313e-16,0.9999999999999998,2.193926924267013,75.64150752031344,0.00806400464878793,0.29104730537095996,5.1374189076148316,0.4964505960488354,0.9317100783768079
99,spaced,29,371.7162837303141,0.6867063032413082,0.6867138138282043,0.9149857179288936,0.15470993740587843,0.8537256707639326,0.2324034468862597,3.311726122194785,0.7822277574213697,0.00020351958262788223,0.41796329145815636,6.111242662029834,0.2642925627461861,0.12948435808981054
100,spaced,30,329.97374514100727,0.7087897023125405,0.9948212228048203,0.993700211904623,0.4336693112938352,0.9996831829253439,0.44112808942077425,8.51784831809209,49.61557811654181,0.008413635134289891,0.28135584386551565,5.712118715216686,2.220446049250313e-16,0.4749726941160933
101,spaced,31,338.92979959417625,0.7498564061982816,0.9580133348377761,0.896236184649426,0.15695013859097667,0.9180157311841398,0.4229261596791805,0.5107970069361317,13.398028446680621,2.7133890828277412e-05,0.5257358514986253,5.189677345456301,0.6352514182503155,0.45554688116749514
102,spaced,32,397.7900162578225,0.8530600346593642,0.44768447299306646,0.8079816374905608,0.22059831625118453,0.35210625256713024,0.3808477818672193,5.237604023135267,96.69152555892603,0.0005062869260173557,0.3993897895414244,3.5035430830425676,0.22850103035875483,0.8370708254676035
103,spaced,33,318.9335821246417,0.9057556599304327,2.220446049250313e-16,0.9999999999999998,0.4518212472878755,0.42250519023857425,0.8546804164766125,26.864462596885012,2.8159404862622903,0.021991792554016593,0.19069303366230841,2.149461127050582,0.2831761701490246,0.7126383048141501
