,condition,subject,model,control,massed,spaced,mixed
177,spaced,18,CMR-DE,951.0557612236138,732.9112377848495,728.8474448945702,737.8042095011565
178,spaced,19,CMR,404.28988797450864,306.4541212583299,363.6137034791185,362.0071806287996
179,spaced,19,CMR-DE,392.4570841693029,299.64972672156784,357.258967059782,346.63005295318936
180,spaced,20,CMR,648.0330247383263,437.69419493759347,492.53696452627526,799.104261284597
181,spaced,20,CMR-DE,651.8574649574932,440.64043657327863,493.7939622474797,800.8161972520321
182,spaced,21,CMR,409.7103444899626,322.1237473087383,242.60174687275716,236.82651221868568
183,spaced,21,CMR-DE,403.5937220088862,320.17004862576493,242.02699730774214,235.8675465233824
184,spaced,22,CMR,396.67503453294324,361.08014937883644,420.1124874172751,436.2827708028093
185,spaced,22,CMR-DE,396.45369999549644,360.2339477633204,418.7288317080769,435.304913456795
186,spaced,23,CMR,434.79198837090485,314.8956778885963,315.69543757436367,467.97617776888876
187,spaced,23,CMR-DE,435.01199282475733,311.8172022465519,316.18889149055445,475.6772481549458
188,spaced,24,CMR,1536.3957493317487,1020.0477852229637,895.5380281023578,1069.3545283902004
189,spaced,24,CMR-DE,1526.3791987263448,1008.9433889397262,892.3445849052583,1050.3603542652588
190,spaced,25,CMR,-0.0,-0.0,-0.0,-0.0
191,spaced,25,CMR-DE,-0.0,-0.0,-0.0,-0.0
192,spaced,26,CMR,413.3921336991822,287.6665227457424,274.62217800443227,329.9396932519991
193,spaced,26,CMR-DE,420.47062093044843,292.0287794371774,277.76653870266887,338.8241858529293
194,spaced,27,CMR,320.40188871099883,247.01122910992575,273.31222099127604,394.478719280869
195,spaced,27,CMR-DE,331.7141930907042,245.51002441583145,281.25293731271506,406.9184626277162
196,spaced,28,CMR,629.7607526717728,418.2188406817825,521.9814512860662,702.2715587707823
197,spaced,28,CMR-DE,656.2416754164847,415.82618583066517,521.629195679005,724.0575959058929
198,spaced,29,CMR,425.08000992068287,365.90478486651216,315.5164363800127,402.68495568722506
199,spaced,29,CMR-DE,433.5609651611844,372.5970866440511,321.2999235542552,412.40559608595197
200,spaced,30,CMR,493.19460403083343,255.98577402108234,362.8348960069781,391.7499798610936
201,spaced,30,CMR-DE,514.6424640410439,264.5660290932302,359.7824659302097,403.7481434191084
202,spaced,31,CMR,775.7912271733767,444.2455254264754,393.2154947876658,1023.4171628663897
203,spaced,31,CMR-DE,771.822268027789,447.3395910057967,388.1870231874004,1013.5269957428062
204,spaced,32,CMR,475.5573787854861,369.03400403970534,362.47335756639166,503.5310640906534
205,spaced,32,CMR-DE,482.8731690411789,370.51040671952046,365.2264197463961,509.72610146022987
206,spaced,33,CMR,926.9576406258451,381.3013767020392,466.0508181138095,893.8462695264784
207,spaced,33,CMR-DE,943.9691100397408,387.76286045501536,471.15050534424125,904.8443154431743
208,spaced,34,CMR,1382.1581751403126,523.2625157891862,744.2558033761713,957.1600506814679
209,spaced,34,CMR-DE,1388.6681303292662,566.2933451393153,805.466602215268,982.8549074141832
210,mixed,0,CMR,725.0104582123514,300.72541910791773,338.2870793012336,573.1741429800081
211,mixed,0,CMR-DE,745.2557703613109,314.8926254630794,369.9599752249106,559.890716336105
212,mixed,1,CMR,426.3056255302541,327.17876271032094,391.570018057096,361.93750123202733
213,mixed,1,CMR-DE,425.792525202572,319.0582491059694,391.1004538509402,361.54276875899103
214,mixed,2,CMR,762.5416793526513,418.8333229073278,430.03274107172376,613.0250518136896
215,mixed,2,CMR-DE,768.8680085075252,427.8948817023101,430.20173677284913,611.5669562977612
216,mixed,3,CMR,283.57288436439524,227.88895307691465,332.75163807807377,265.7859962837099
217,mixed,3,CMR-DE,283.79190405925027,226.7109086738677,331.5929456830901,265.74652098025325
218,mixed,4,CMR,696.2435510645862,370.47800008824277,401.45224478065086,607.7229700062676
219,mixed,4,CMR-DE,708.5864024218719,370.07512224082825,401.36937067129475,606.5277051347755
220,mixed,5,CMR,694.1896836071153,453.7377705707124,392.7780867094869,627.3938082436046
221,mixed,5,CMR-DE,692.5183490328454,455.39192958679587,393.38361569926155,625.2717135312251
222,mixed,6,CMR,398.8466873127903,160.47721005614108,212.35018782329686,298.5571254736392
223,mixed,6,CMR-DE,398.1622258094543,161.22412887524177,211.1685053339877,301.61160795266983
224,mixed,7,CMR,619.861225657542,392.94399112293416,410.5974253804571,634.2192950095537
225,mixed,7,CMR-DE,615.5905556400683,385.8967263752901,399.955836599524,636.6882641446946
226,mixed,8,CMR,-0.0,-0.0,-0.0,-0.0
227,mixed,8,CMR-DE,-0.0,-0.0,-0.0,-0.0
228,mixed,9,CMR,811.799165425054,313.8438222396166,327.4753257498057,522.5842806937133
229,mixed,9,CMR-DE,808.5403418723738,307.55385746724585,329.50507845053744,519.5872843877432
230,mixed,10,CMR,946.7187672046477,681.178052018036,553.2911720176176,745.9948691717104
231,mixed,10,CMR-DE,980.7230903377125,658.9465772813995,527.3792078949266,759.5131551512325
232,mixed,11,CMR,1074.6860272473618,276.8906296737746,401.2693459886824,775.0523992232786
233,mixed,11,CMR-DE,1063.6308351097853,281.3546172992877,402.15436491531375,768.981425290779
234,mixed,12,CMR,764.5492378337829,428.0755913080977,424.3471260105309,600.1393572668095
235,mixed,12,CMR-DE,769.4550926043078,431.67938518113544,429.2184901401961,595.7472628228129
236,mixed,13,CMR,1328.8539335031865,628.3092366686469,526.7695217244966,1339.0844326147974
237,mixed,13,CMR-DE,1332.4359077480804,607.8464863557792,499.6434563751411,1335.7162928415569
238,mixed,14,CMR,543.7711681503649,386.46277171711813,436.633414438628,510.5777466129001
239,mixed,14,CMR-DE,550.2843334170109,385.1879240221453,436.10140739423224,513.6927007625957
240,mixed,15,CMR,630.5557503728346,423.10465406143004,416.9816005077297,628.6642759062677
