subject,list,item,input,output,study,recall,repeat,intrusion,category,list_type,item_string,item_string_index
1,8,21.0,22.0,,True,False,0,False,cel,heavy,Jennifer Lawrence,210
1,8,22.0,23.0,2.0,True,True,0,False,cel,heavy,Ben Stiller,211
1,8,23.0,24.0,1.0,True,True,0,False,cel,heavy,Kobe Bryant,212
1,8,24.0,25.0,3.0,True,True,0,False,loc,heavy,Tahiti,213
1,8,25.0,26.0,8.0,True,True,0,False,loc,heavy,Prague,214
1,8,26.0,27.0,,True,False,0,False,loc,heavy,Venice,215
2,1,0.0,1.0,1.0,True,True,0,False,cel,heavy,Oprah Winfrey,110
2,1,1.0,2.0,2.0,True,True,0,False,cel,heavy,Amy Poehler,92
2,1,2.0,3.0,3.0,True,True,0,False,cel,heavy,Liam Neeson,175
2,1,3.0,4.0,,True,False,0,False,loc,heavy,Bunker Hill,116
2,1,4.0,5.0,11.0,True,True,0,False,loc,heavy,United Nations Building,152
2,1,5.0,6.0,,True,False,0,False,loc,heavy,Everglades,183
2,1,6.0,7.0,,True,False,0,False,obj,heavy,projector,72
2,1,7.0,8.0,,True,False,0,False,obj,heavy,backpack,201
2,1,8.0,9.0,,True,False,0,False,obj,heavy,speaker,98
2,1,9.0,10.0,12.0,True,True,0,False,loc,heavy,Hungarian Parliament,96
2,1,10.0,11.0,,True,False,0,False,loc,heavy,Gettysburg,43
2,1,11.0,12.0,,True,False,0,False,loc,heavy,Serengeti Plain,193
2,1,12.0,13.0,,True,False,0,False,obj,heavy,pie,5
2,1,13.0,14.0,9.0,True,True,0,False,obj,heavy,birdhouse,32
2,1,14.0,15.0,8.0,True,True,0,False,obj,heavy,fireplace,178
2,1,15.0,16.0,,True,False,0,False,cel,heavy,Julianne Moore,144
2,1,16.0,17.0,4.0,True,True,0,False,cel,heavy,Justin Bieber,149
2,1,17.0,18.0,,True,False,0,False,cel,heavy,Kate Winslet,82
2,1,18.0,19.0,,True,False,0,False,loc,heavy,Space Needle,94
2,1,19.0,20.0,6.0,True,True,0,False,loc,heavy,Quincy Market,28
2,1,20.0,21.0,,True,False,0,False,loc,heavy,Acropolis,27
2,1,21.0,22.0,10.0,True,True,0,False,obj,heavy,skateboard,146
