subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
13,8,226.31152779002122,free_stop_probability_growth_Semantic_CMR,0.8232444654209423,0.8227554834485116,0.6063818401425829,0.1531061456536269,0.649400358461234,0.27099083811043556,1.5544099585213473,7.407171343546288,0.012256457167470813,0.463566825990263,0.21362298702049198,2.640051489162846,0.037298188696444745,1.9704299923040947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.43791039411065,free_stop_probability_growth_Semantic_CMR,0.34606075511723805,0.5797227997969614,0.9784227795474313,0.5118981164976426,0.6218035170198273,0.3726993665784248,2.799983824464725,58.911893244475344,0.011298859592585253,0.19710506299330355,0.11315297196154273,4.018599806533701,0.12849878512823626,1.0707573467744003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,343.77149906834336,free_stop_probability_growth_Semantic_CMR,0.5222998737991106,0.7304391202116495,0.9157846004921335,0.37477755883644315,0.11975337761489319,0.9010940068183455,0.9574889490834266,80.29563318639973,0.003075256628730927,0.34233478684475305,0.24731735907130314,3.4239839663172305,0.060571038709707814,1.145716694505733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,177.52500914420503,free_stop_probability_growth_Semantic_CMR,0.5325568798667382,0.14722658073661596,0.49306509076077293,0.08958400769191589,0.8204771141918378,0.890636130307889,8.103475388585945,29.60850365832336,0.07864754694491323,0.07324632873934793,0.1703948777370875,2.4726062811931055,0.046056861182671084,6.735324648115955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,279.12017536702785,free_stop_probability_growth_Semantic_CMR,0.8123517732403418,0.06983849290547944,0.8023469710965015,0.8160040168530067,0.5196001440792817,0.6407545531166752,6.443000771519905,1.1667019773155758,0.007441515608188565,0.24845487143246636,0.14278445888073765,8.693069626513147,0.15848164999701703,0.2379914383468238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.22674399657737,free_stop_probability_growth_Semantic_CMR,0.6412597678089809,0.11359662877475724,0.20604799688062647,7.46599849177354e-06,0.39264140524012586,0.9843307229522262,2.1515062397027407,40.29637895985592,0.023064772954134616,0.18909546687137446,0.14020500336127917,2.1869593035959896,0.3525120969710773,0.699222967837235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,264.63372191458444,free_stop_probability_growth_Semantic_CMR,0.4229577202258574,0.2928018851986398,0.8294674214156668,0.7726090187396875,0.4869571519974766,0.7152255629111081,1.3754799492165333,60.69880778427023,0.020720479056603347,0.2845114912076223,0.1611008661835145,7.380281967360858,0.031538625101427575,0.6997838730133941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.89859657038613,free_stop_probability_growth_Semantic_CMR,0.7717857108200022,0.21126534047879808,0.8078663713478355,0.1867556396313378,0.39763662032650676,0.8029733790743326,0.09655025608352474,81.96791177256611,0.008508677340411885,0.3056815114662985,0.2519940491098147,2.1367240952998396,0.6410683740740453,0.5891283665147329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.1703977065996,free_stop_probability_growth_Semantic_CMR,0.6056792021174586,0.04393193352011515,0.8390548636196413,0.07400671812994852,0.2864688884212657,0.9796694315248249,21.730167455280665,78.74523252656797,0.01348409961085395,0.2612422638294918,0.24935169689693915,2.0665300101167237,0.0657867831531021,1.6229244284478357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,273.73798972464044,free_stop_probability_growth_Semantic_CMR,0.724208075835106,0.861962889853183,0.8569850091993045,0.31400107436929614,0.17886782251352096,0.32146219343356397,0.6667443865647584,67.83363618485359,0.0050799640460476025,0.30692538418747617,0.23024964103579748,5.119397902429672,0.3402526494152115,0.21042414321547387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
