subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
26,8,285.662384835898,free_2_start_drift_rate_Semantic_CMR,0.8624807217592456,0.30096664095690273,0.18497118943243596,0.5736461810661977,0.9061385908727784,0.7831534726723033,0.7769151655335534,0.5583355879812336,1.8176187922504283,63.12624667376784,0.0023515603733024193,0.45815511220311933,0.2895350803821408,6.882492603659891,0.15338974204162698,0.5896420955385295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,341.8514969665166,free_2_start_drift_rate_Semantic_CMR,0.727133848267058,0.27489200745400905,0.39838120189916226,0.9116400154987361,0.8562775698580585,0.757463464430086,0.7394931741410328,0.986216276652338,5.071037661414614,79.72892774438372,0.014234528144279668,0.182786166235549,0.10155774756220559,8.226925254261896,0.22093481413466032,0.9543651427990305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,255.1378973675018,free_2_start_drift_rate_Semantic_CMR,0.781920746541519,0.2115108459349745,0.6793028737949803,0.4835903351887067,0.7785066568408051,0.32998518421626977,0.4637126255655972,0.496630589224663,1.7209595029251261,25.9318974976832,0.0066053375805005254,0.32650933794451475,0.17125714150523486,7.5433091180942125,0.8290995752414585,0.06807941199055279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.92891054167487,free_2_start_drift_rate_Semantic_CMR,0.835663825466864,0.34913295195553296,0.4848778210959954,0.3536142344176875,0.8511596537775028,0.3601222148285551,0.6411574423012589,0.43011002836773893,0.8455584221873167,88.52248081204806,0.02145984427535519,0.21002535705973635,0.19601915617333,4.220418648232015,0.054964668026739605,0.4197992372220325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.35055513506893,free_2_start_drift_rate_Semantic_CMR,0.5114779071721928,0.37620565076672635,0.1777484423507299,0.5493709793464308,0.6020937495459007,0.3200470752061195,0.7194260330967075,0.7804862489222893,13.607961349595556,75.03090586669771,0.001147527773413315,0.48785658328103576,0.47494119974270976,2.4948353044501594,0.6039079417247428,9.583124416588001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.2938630638487,free_2_start_drift_rate_Semantic_CMR,0.5246078797854127,0.6206181139946259,0.15149205125440451,0.7959741893784216,0.29219226726564984,0.37882841584924437,0.6820743004997667,0.7504448226451705,3.6142562506382134,73.01691358024978,0.003091578155412278,0.3772124996031696,0.4905565366905513,2.716829453602582,0.5331005070014654,2.7504331797961994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.95884150237148,free_2_start_drift_rate_Semantic_CMR,0.4863531820574946,0.0005755520859502261,0.2713717886971281,0.44936232479351024,0.44662430028020295,0.036698408087783796,0.5397966648577491,0.5954639570559133,1.159775943166217,30.695722969352197,0.008202553004005075,0.34365042978040083,0.35340640508185484,2.173601503978701,0.10878887562476786,0.42420185086911566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,312.97867423627645,free_2_start_drift_rate_Semantic_CMR,0.565400711487014,0.09841307236359925,0.819684649030912,0.6636575818044074,0.9003963589087154,0.3997347315517141,0.22462646491391175,0.6343915562216302,0.14818590074573024,60.493548153266204,0.010308804832304508,0.26396709119032113,0.22451787707754267,6.0365549712893865,0.5009581773222793,0.8394751160213918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.65133370334627,free_2_start_drift_rate_Semantic_CMR,0.6032727843077388,0.13286981601508235,0.11883507423656398,0.2597326873292237,0.9623631780543629,0.3141875321501735,0.6966278952619299,0.42533884294751756,1.8432993657690204,69.97980360923404,0.0036503496080522724,0.6213199562192004,0.5636055226629004,2.9107595161147333,0.0029717213135236342,0.14121158337557382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,272.5459154371811,free_2_start_drift_rate_Semantic_CMR,0.9301457560148361,0.71532829493765,0.6896952872205638,0.19144764161496508,0.9669033325347591,0.2902394209174689,0.2820708592746427,0.7155240541101666,21.892217443750667,0.3424808528435719,0.0019248560154678795,0.5205194861596452,0.33921422731305917,1.9095259713699053,0.6386594728303894,0.956763159751782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
