index,subject,input,recall,source
25,28,26,0.5,data
26,28,27,0.75,data
0,30,1,0.5,data
1,30,2,0.0,data
2,30,3,0.25,data
3,30,4,0.0,data
4,30,5,0.5,data
5,30,6,0.25,data
6,30,7,0.25,data
7,30,8,0.5,data
8,30,9,0.0,data
9,30,10,0.5,data
10,30,11,0.5,data
11,30,12,0.25,data
12,30,13,0.25,data
13,30,14,0.25,data
14,30,15,0.5,data
15,30,16,0.5,data
16,30,17,0.25,data
17,30,18,0.5,data
18,30,19,0.25,data
19,30,20,0.75,data
20,30,21,0.25,data
21,30,22,0.25,data
22,30,23,0.75,data
23,30,24,1.0,data
24,30,25,0.0,data
25,30,26,0.0,data
26,30,27,0.75,data
0,31,1,0.5,data
1,31,2,0.75,data
2,31,3,0.5,data
3,31,4,0.25,data
4,31,5,0.25,data
5,31,6,0.25,data
6,31,7,0.25,data
7,31,8,0.0,data
8,31,9,0.25,data
9,31,10,0.5,data
10,31,11,0.0,data
11,31,12,0.25,data
12,31,13,0.25,data
13,31,14,0.5,data
14,31,15,0.25,data
15,31,16,0.25,data
16,31,17,0.5,data
17,31,18,0.25,data
18,31,19,0.5,data
19,31,20,0.5,data
20,31,21,0.25,data
21,31,22,0.5,data
22,31,23,0.25,data
23,31,24,0.25,data
24,31,25,0.75,data
25,31,26,1.0,data
26,31,27,0.75,data
0,32,1,1.0,data
1,32,2,0.75,data
2,32,3,0.25,data
3,32,4,1.0,data
4,32,5,0.25,data
5,32,6,0.5,data
6,32,7,0.5,data
7,32,8,0.25,data
8,32,9,0.5,data
9,32,10,0.75,data
10,32,11,0.5,data
11,32,12,0.0,data
12,32,13,0.25,data
13,32,14,0.75,data
14,32,15,0.75,data
15,32,16,0.0,data
16,32,17,0.25,data
17,32,18,0.5,data
18,32,19,0.5,data
19,32,20,0.25,data
20,32,21,0.25,data
21,32,22,0.75,data
22,32,23,0.75,data
23,32,24,0.25,data
24,32,25,0.5,data
25,32,26,0.25,data
26,32,27,0.25,data
0,33,1,0.5,data
1,33,2,0.25,data
2,33,3,0.25,data
3,33,4,0.25,data
4,33,5,0.25,data
5,33,6,0.5,data
6,33,7,0.75,data
7,33,8,0.75,data
8,33,9,0.25,data
9,33,10,0.5,data
10,33,11,0.25,data
11,33,12,0.25,data
12,33,13,0.25,data
13,33,14,0.25,data
14,33,15,0.25,data
15,33,16,0.75,data
16,33,17,0.25,data
17,33,18,0.25,data
18,33,19,0.25,data
19,33,20,0.25,data
20,33,21,0.5,data
21,33,22,0.5,data
22,33,23,0.25,data
23,33,24,1.0,data
24,33,25,0.0,data
25,33,26,0.75,data
26,33,27,0.75,data
0,34,1,0.0,data
1,34,2,0.25,data
2,34,3,0.25,data
3,34,4,0.25,data
4,34,5,0.25,data
5,34,6,0.0,data
6,34,7,0.0,data
7,34,8,0.0,data
8,34,9,0.25,data
9,34,10,0.5,data
10,34,11,0.25,data
11,34,12,0.0,data
12,34,13,0.0,data
13,34,14,0.0,data
14,34,15,0.25,data
15,34,16,0.75,data
16,34,17,0.75,data
17,34,18,0.0,data
18,34,19,1.0,data
19,34,20,0.75,data
20,34,21,0.25,data
21,34,22,1.0,data
22,34,23,0.5,data
23,34,24,0.25,data
24,34,25,0.75,data
25,34,26,0.5,data
26,34,27,0.75,data
0,35,1,0.25,data
1,35,2,0.25,data
2,35,3,0.25,data
3,35,4,0.5,data
4,35,5,0.75,data
5,35,6,0.5,data
6,35,7,0.75,data
7,35,8,0.5,data
8,35,9,0.5,data
9,35,10,0.5,data
10,35,11,0.5,data
11,35,12,0.25,data
12,35,13,0.75,data
13,35,14,0.5,data
14,35,15,0.25,data
15,35,16,0.75,data
16,35,17,0.25,data
17,35,18,0.25,data
18,35,19,0.5,data
19,35,20,0.5,data
20,35,21,0.5,data
21,35,22,0.25,data
22,35,23,0.25,data
23,35,24,0.25,data
24,35,25,0.5,data
25,35,26,0.5,data
26,35,27,0.75,data
0,36,1,0.25,data
1,36,2,0.25,data
2,36,3,0.0,data
3,36,4,0.0,data
4,36,5,0.25,data
5,36,6,0.25,data
6,36,7,0.0,data
7,36,8,0.25,data
8,36,9,0.25,data
9,36,10,0.0,data
10,36,11,0.0,data
11,36,12,0.0,data
12,36,13,0.25,data
13,36,14,0.0,data
14,36,15,0.5,data
15,36,16,0.25,data
16,36,17,0.25,data
17,36,18,0.5,data
18,36,19,0.25,data
19,36,20,0.5,data
20,36,21,0.75,data
21,36,22,0.25,data
22,36,23,0.0,data
23,36,24,0.75,data
24,36,25,0.5,data
25,36,26,0.75,data
26,36,27,0.75,data
0,38,1,1.0,data
1,38,2,0.5,data
2,38,3,0.25,data
3,38,4,0.75,data
4,38,5,1.0,data
5,38,6,0.5,data
6,38,7,0.0,data
7,38,8,0.0,data
8,38,9,0.0,data
9,38,10,0.0,data
10,38,11,0.5,data
11,38,12,0.0,data
12,38,13,0.0,data
13,38,14,0.25,data
14,38,15,0.5,data
15,38,16,0.0,data
16,38,17,0.25,data
17,38,18,0.5,data
18,38,19,0.25,data
19,38,20,0.5,data
20,38,21,0.5,data
21,38,22,0.0,data
22,38,23,0.5,data
23,38,24,0.75,data
24,38,25,0.5,data
25,38,26,0.25,data
26,38,27,0.25,data
0,39,1,0.25,data
1,39,2,0.75,data
2,39,3,0.25,data
3,39,4,0.0,data
4,39,5,0.25,data
5,39,6,0.0,data
6,39,7,0.0,data
7,39,8,0.0,data
8,39,9,0.5,data
9,39,10,0.0,data
10,39,11,0.0,data
11,39,12,0.25,data
12,39,13,0.25,data
13,39,14,0.5,data
14,39,15,0.25,data
15,39,16,0.25,data
16,39,17,0.75,data
17,39,18,0.25,data
18,39,19,0.25,data
19,39,20,0.5,data
20,39,21,0.25,data
21,39,22,0.25,data
22,39,23,0.5,data
23,39,24,0.75,data
24,39,25,0.75,data
25,39,26,0.0,data
26,39,27,0.5,data
0,40,1,0.5,data
1,40,2,0.5,data
2,40,3,0.75,data
3,40,4,0.25,data
4,40,5,0.75,data
5,40,6,1.0,data
6,40,7,0.5,data
7,40,8,0.0,data
8,40,9,0.75,data
9,40,10,0.75,data
10,40,11,0.5,data
11,40,12,0.25,data
12,40,13,0.25,data
13,40,14,0.5,data
14,40,15,0.5,data
15,40,16,0.25,data
16,40,17,0.75,data
17,40,18,0.5,data
18,40,19,0.5,data
19,40,20,0.25,data
20,40,21,0.75,data
21,40,22,0.5,data
22,40,23,1.0,data
23,40,24,0.75,data
24,40,25,1.0,data
25,40,26,0.5,data
26,40,27,1.0,data
0,41,1,0.25,data
1,41,2,0.25,data
2,41,3,0.25,data
3,41,4,0.75,data
4,41,5,0.75,data
5,41,6,0.0,data
6,41,7,0.5,data
7,41,8,0.0,data
8,41,9,0.25,data
9,41,10,0.0,data
10,41,11,0.5,data
11,41,12,0.5,data
12,41,13,0.5,data
13,41,14,0.25,data
14,41,15,0.75,data
15,41,16,1.0,data
16,41,17,1.0,data
17,41,18,0.75,data
18,41,19,0.75,data
19,41,20,1.0,data
20,41,21,1.0,data
21,41,22,0.75,data
22,41,23,0.25,data
23,41,24,0.5,data
24,41,25,0.75,data
25,41,26,0.75,data
26,41,27,0.5,data
0,42,1,0.75,data
1,42,2,0.5,data
2,42,3,0.25,data
3,42,4,0.5,data
4,42,5,0.5,data
5,42,6,0.0,data
6,42,7,0.0,data
7,42,8,0.5,data
8,42,9,0.5,data
9,42,10,0.5,data
10,42,11,0.0,data
11,42,12,0.25,data
12,42,13,0.5,data
13,42,14,0.5,data
14,42,15,0.0,data
15,42,16,0.5,data
16,42,17,0.0,data
17,42,18,0.75,data
18,42,19,0.75,data
19,42,20,0.25,data
