subject,list,item,input,output,study,recall,repeat,intrusion,first_input,condition,prior_list,prior_input
118,2,16,50,,True,False,0,False,50,0.0,,
118,2,16,51,,True,False,0,False,51,0.0,,
118,2,17,52,,True,False,0,False,52,0.0,,
118,2,17,53,,True,False,0,False,53,0.0,,
118,2,17,54,,True,False,0,False,54,0.0,,
118,2,18,55,,True,False,0,False,55,0.0,,
118,2,18,56,,True,False,0,False,56,0.0,,
118,2,18,57,,True,False,0,False,57,0.0,,
118,2,19,58,,True,False,0,False,58,0.0,,
118,2,19,59,,True,False,0,False,59,0.0,,
118,2,19,60,,True,False,0,False,60,0.0,,
118,2,20,61,,True,False,0,False,61,0.0,,
118,2,20,62,,True,False,0,False,62,0.0,,
118,2,20,63,,True,False,0,False,63,0.0,,
118,2,21,64,,True,False,0,False,64,0.0,,
118,2,21,65,,True,False,0,False,65,0.0,,
118,2,21,66,,True,False,0,False,66,0.0,,
118,2,22,67,,True,False,0,False,67,0.0,,
118,2,22,68,,True,False,0,False,68,0.0,,
118,2,22,69,,True,False,0,False,69,0.0,,
118,2,23,70,,True,False,0,False,70,0.0,,
118,2,23,71,,True,False,0,False,71,0.0,,
118,2,23,72,,True,False,0,False,72,0.0,,
118,2,24,73,,True,False,0,False,73,0.0,,
118,2,24,74,,True,False,0,False,74,0.0,,
118,2,24,75,,True,False,0,False,75,0.0,,
118,2,25,76,,True,False,0,False,76,0.0,,
118,2,25,77,,True,False,0,False,77,0.0,,
118,2,25,78,,True,False,0,False,78,0.0,,
118,2,26,79,,True,False,0,False,79,0.0,,
118,2,26,80,,True,False,0,False,80,0.0,,
118,2,26,81,,True,False,0,False,81,0.0,,
118,2,27,82,,True,False,0,False,82,0.0,,
118,2,27,83,,True,False,0,False,83,0.0,,
118,2,27,84,,True,False,0,False,84,0.0,,
118,2,28,85,3.0,True,True,0,False,85,0.0,,
118,2,28,86,,True,False,0,False,86,0.0,,
118,2,28,87,,True,False,0,False,87,0.0,,
118,2,29,88,,True,False,0,False,88,0.0,,
