subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
33,8,270.3232627326726,free_2_primacy_decay_Semantic_CMR,0.5050493212094738,0.038666899898996854,0.21767305530423686,0.45333623632232173,0.5211532429831598,0.9834512159906422,0.41587443140590535,0.5335541452409771,90.50395292701691,67.36706990855126,0.004289390295966533,0.37346767812886394,0.43074567517506956,4.135473828813816,0.18312297021425733,1.3116857324947704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.19531978893724,free_2_primacy_decay_Semantic_CMR,0.4612064952076743,0.010532761165375604,0.3409907609176891,0.4839840104492702,0.02534056286440467,0.9545192109577212,0.6138402193638419,2.61438333992713,70.05874692123093,49.8958814843554,0.0037463466918486454,0.5024094839967832,0.4282018598637034,1.8415635482390122,0.059201234894170396,0.5195294977812486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,312.0705147890277,free_2_primacy_decay_Semantic_CMR,0.8709192425376304,0.2586302015071896,0.601812972150612,0.861690674519459,0.8610229672591001,0.9343891230500707,0.4511796294059024,0.48830082054444546,16.79529312461319,39.01058366268373,0.001629666305794475,0.39572182763390806,0.2963481336055116,6.976814815206634,0.6435383988690759,0.9277428193332922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,196.95651053784218,free_2_primacy_decay_Semantic_CMR,0.6268378409015909,0.06284232906116222,0.24449419541148876,0.6802625510080065,0.02830833761399182,0.8934814954586081,0.384525513849836,6.175042276454526,93.08345493637981,64.42490423874004,0.0015318479307279143,0.7256620698901255,0.6793043094077023,1.6129875345863596,0.01548481553923764,0.2127220239830132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,278.69749393683946,free_2_primacy_decay_Semantic_CMR,0.7084275757123059,0.3111938077516987,0.3977569963743049,0.9294066352515666,0.6467516571616769,0.860740728449676,0.09061027908766034,40.84451925792406,2.5253840470001094,42.26501823093974,0.0040988004665332145,0.47199658956008506,0.33135360473337094,2.0225363861762187,0.7178649000728433,1.5056347932331464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.9847505865635,free_2_primacy_decay_Semantic_CMR,0.4301230080077316,0.19370762952343795,0.30972401674892536,0.6893839701857155,0.24839340024093132,0.22734957497068187,0.6747598163176199,19.226948979671622,52.88121564063981,48.82496319601701,0.002696733667981288,0.5191190299592927,0.5300014189296665,1.3155513384071362,0.2509940518029071,5.670153131391778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,356.50950846184895,free_2_primacy_decay_Semantic_CMR,0.6329628930810228,0.7655512353878591,0.3590398188015951,0.8601866821628161,0.5698107567382888,0.7005388761635852,0.23023139454659694,0.7827202050092976,37.37759785803724,99.98302354373459,0.0009217044003304138,0.37491281917599234,0.3003124717267199,5.047199695607594,0.2519165348922066,0.879609793733989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.89479445830153,free_2_primacy_decay_Semantic_CMR,0.8644459922281291,0.43778639626905314,0.8409369329320902,0.8458945125033179,0.06352956719894015,0.15666496495712967,0.7762586690962014,0.4249647272588746,42.86337529547058,68.14345373801417,0.016801594739390024,0.133766938945989,0.206690364478189,3.5259925123167,0.758266131357034,0.16186569993282784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,214.77425078033679,free_2_primacy_decay_Semantic_CMR,0.7860623757980576,0.10107427313324435,0.19016181085208583,0.9511140227851649,0.8117435247821044,0.8709875357745882,0.213508247857351,15.624097203414856,52.13923665922946,0.171770201493068,0.0153105605245486,0.193362816348845,0.17251876230490026,4.979584101723736,0.6020344723591562,3.547914946186162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,214.2106113532485,free_2_primacy_decay_Semantic_CMR,0.664556584169738,0.157536404165805,0.7331000819105681,0.006463225732147748,0.03489376142559408,0.8321084800684238,0.5506329270330643,2.0880004881703798,14.50886004073599,64.70813175835303,0.007687172489557248,0.5099263281888202,0.23066842142094046,2.0223029659839673,0.013990526697014893,1.6379594936156652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.82818786495702,free_2_primacy_decay_Semantic_CMR,0.4944553815525141,0.0076347572143664055,0.9829901968785959,0.02281778618583652,0.27380738704063334,0.7442362321989128,0.8283375497630816,3.0959033418740205,17.33019141034906,64.77240466716444,0.027700191175560496,0.466290445253021,0.5017582835564802,6.405440968761361,0.34652468040732803,0.25396069768480345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,217.19947112724014,free_2_primacy_decay_Semantic_CMR,0.4616666330731115,0.5011972503786495,0.4776588828434961,0.09161720138906027,0.509249643657423,0.618513956711171,0.552059184098427,3.878321993467523,64.07712725799493,48.577231409502005,0.00950430372976574,0.37110071520223364,0.33067707997362206,2.3142618233008596,0.014204283369708692,7.678710729037597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,300.8504173506519,free_2_primacy_decay_Semantic_CMR,0.9130162176270531,0.04078924430876474,0.348866850766935,0.8059474936938461,0.5487699513655665,0.9395636639098056,0.6534274784578009,17.31918512495406,79.53817463402113,61.28483862223937,0.0029595641082064694,0.3000219394368475,0.3205474655814191,5.62218688536248,0.03422514992193393,0.30420634732905594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,304.3114633011743,free_2_primacy_decay_Semantic_CMR,0.6031312943933861,0.16804828166742652,0.24804757637358843,0.6865336644145007,0.023985456336350075,0.7100448377224804,0.6586703434349191,2.3192830069817845,4.773237633565245,20.25803155249276,0.005583828651993139,0.36650745975272425,0.18487054596290342,3.243230794744268,0.36112795247359114,0.2361065388767969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.33681687486998,free_2_primacy_decay_Semantic_CMR,0.6686040857495441,0.09706670222150976,0.09727981573527067,0.9004700660310796,0.41754395766615365,0.8529851559291022,0.6888733805364604,2.634912412583283,48.85227188189665,71.31969964598747,0.015587042072945534,0.2987792915742924,0.2433905055568495,5.031793387056808,0.02015145068599017,0.41806316501711027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,181.04611593643176,free_2_primacy_decay_Semantic_CMR,0.9854513650743058,0.0719724865686393,0.3036845785932645,0.6902425000743176,0.10233939833500971,0.8725241102721086,0.9359781230142517,17.9559431218427,73.09003381277226,88.64696470052898,0.016513489305025997,0.6129362517232391,0.24514841844889013,2.3770822864305297,0.18098329999355983,0.757562813427195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,304.18151650025925,free_2_primacy_decay_Semantic_CMR,0.4959058818108119,0.6314346056758067,0.43694278592491453,0.9375962105963035,0.6905082368080111,0.27353916425277375,0.7851699315874331,0.05800806923523538,7.243321077825051,24.782734974591904,0.004477722311889365,0.29214566715732104,0.28551231869016647,9.45747944489813,0.07232390923581833,0.6598825827500097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
