index,subject,bin,prob,source
3,62,1.0,0.035218783351120594,data
4,62,1.0,,data
5,62,1.0,,data
6,62,1.0,,data
7,62,1.0,,data
8,62,1.0,,data
9,62,1.0,,data
0,64,0.0,0.08043478260869565,data
1,64,0.0,,data
2,64,0.0,,data
3,64,1.0,0.0297951582867784,data
4,64,1.0,,data
5,64,1.0,,data
6,64,1.0,,data
7,64,1.0,,data
8,64,1.0,,data
9,64,1.0,,data
0,65,0.0,0.1111111111111111,data
1,65,0.0,,data
2,65,0.0,,data
3,65,1.0,0.02358490566037736,data
4,65,1.0,,data
5,65,1.0,,data
6,65,1.0,,data
7,65,1.0,,data
8,65,1.0,,data
9,65,1.0,,data
0,66,0.0,0.08786610878661087,data
1,66,0.0,,data
2,66,0.0,,data
3,66,1.0,0.026411657559198543,data
4,66,1.0,,data
5,66,1.0,,data
6,66,1.0,,data
7,66,1.0,,data
8,66,1.0,,data
9,66,1.0,,data
0,67,0.0,0.08349900596421471,data
1,67,0.0,,data
2,67,0.0,,data
3,67,1.0,0.030061892130857647,data
4,67,1.0,,data
5,67,1.0,,data
6,67,1.0,,data
7,67,1.0,,data
8,67,1.0,,data
9,67,1.0,,data
0,68,0.0,0.075,data
1,68,0.0,,data
2,68,0.0,,data
3,68,1.0,0.027579162410623085,data
4,68,1.0,,data
5,68,1.0,,data
6,68,1.0,,data
7,68,1.0,,data
8,68,1.0,,data
9,68,1.0,,data
0,69,0.0,0.06702412868632708,data
1,69,0.0,,data
2,69,0.0,,data
3,69,1.0,0.03180212014134275,data
4,69,1.0,,data
5,69,1.0,,data
6,69,1.0,,data
7,69,1.0,,data
8,69,1.0,,data
9,69,1.0,,data
0,70,0.0,0.11201298701298701,data
1,70,0.0,,data
2,70,0.0,,data
3,70,1.0,0.02571230020847811,data
4,70,1.0,,data
5,70,1.0,,data
6,70,1.0,,data
7,70,1.0,,data
8,70,1.0,,data
9,70,1.0,,data
0,71,0.0,0.11363636363636363,data
1,71,0.0,,data
2,71,0.0,,data
3,71,1.0,0.01998262380538662,data
4,71,1.0,,data
5,71,1.0,,data
6,71,1.0,,data
7,71,1.0,,data
8,71,1.0,,data
9,71,1.0,,data
0,72,0.0,0.12151067323481117,data
1,72,0.0,,data
2,72,0.0,,data
3,72,1.0,0.016690856313497822,data
4,72,1.0,,data
5,72,1.0,,data
6,72,1.0,,data
7,72,1.0,,data
8,72,1.0,,data
9,72,1.0,,data
0,73,0.0,0.08083140877598152,data
1,73,0.0,,data
2,73,0.0,,data
3,73,1.0,0.0263671875,data
4,73,1.0,,data
5,73,1.0,,data
6,73,1.0,,data
7,73,1.0,,data
8,73,1.0,,data
9,73,1.0,,data
0,74,0.0,0.05314009661835749,data
1,74,0.0,,data
2,74,0.0,,data
3,74,1.0,0.04029692470837752,data
4,74,1.0,,data
5,74,1.0,,data
6,74,1.0,,data
7,74,1.0,,data
8,74,1.0,,data
9,74,1.0,,data
0,75,0.0,0.0670611439842209,data
1,75,0.0,,data
2,75,0.0,,data
3,75,1.0,0.036395147313691506,data
4,75,1.0,,data
5,75,1.0,,data
6,75,1.0,,data
7,75,1.0,,data
8,75,1.0,,data
9,75,1.0,,data
0,76,0.0,0.10088495575221239,data
1,76,0.0,,data
2,76,0.0,,data
3,76,1.0,0.02749410840534171,data
4,76,1.0,,data
5,76,1.0,,data
6,76,1.0,,data
7,76,1.0,,data
8,76,1.0,,data
9,76,1.0,,data
0,77,0.0,0.1456953642384106,data
1,77,0.0,,data
2,77,0.0,,data
3,77,1.0,0.018443804034582133,data
4,77,1.0,,data
5,77,1.0,,data
6,77,1.0,,data
7,77,1.0,,data
8,77,1.0,,data
9,77,1.0,,data
0,78,0.0,0.0759493670886076,data
1,78,0.0,,data
2,78,0.0,,data
3,78,1.0,0.03783012134189864,data
4,78,1.0,,data
5,78,1.0,,data
6,78,1.0,,data
7,78,1.0,,data
8,78,1.0,,data
9,78,1.0,,data
0,79,0.0,0.08757637474541752,data
1,79,0.0,,data
2,79,0.0,,data
3,79,1.0,0.029285099052540915,data
4,79,1.0,,data
5,79,1.0,,data
6,79,1.0,,data
7,79,1.0,,data
8,79,1.0,,data
9,79,1.0,,data
0,81,0.0,0.12855007473841554,data
1,81,0.0,,data
2,81,0.0,,data
3,81,1.0,0.02169869807811531,data
4,81,1.0,,data
5,81,1.0,,data
6,81,1.0,,data
7,81,1.0,,data
8,81,1.0,,data
9,81,1.0,,data
0,82,0.0,0.09090909090909091,data
1,82,0.0,,data
2,82,0.0,,data
3,82,1.0,0.02980392156862745,data
4,82,1.0,,data
5,82,1.0,,data
6,82,1.0,,data
7,82,1.0,,data
8,82,1.0,,data
9,82,1.0,,data
0,83,0.0,0.1,data
1,83,0.0,,data
2,83,0.0,,data
