subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
12,8,97.62909281274769,free_3_start_drift_rate_Semantic_CMR,0.4139816841836321,0.1614449778359201,0.2037161071064036,0.9308771955005399,0.9874461206997632,0.004668154815328951,0.6702996185587483,0.4094327976194294,0.03644411748819465,21.282467979118717,0.023685523042302814,0.433754800442097,0.3732877375903163,9.76864334716047,9.82259219461601,0.9816492549476304,1.0531976487022292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,219.20264400068908,free_3_start_drift_rate_Semantic_CMR,0.7565619319769082,0.00831855371570905,0.9655759965696741,0.2723299932069644,0.41125856539304567,0.18109412396449034,0.8462413010782354,0.7609491402113924,3.022265158766219,0.6644403470292439,0.0051062743500203045,0.5985464197420199,0.30216215301899063,2.5945998921765074,2.8074222608027304,0.14735476748113677,6.895939254037019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,300.63935524445697,free_3_start_drift_rate_Semantic_CMR,0.682642582566413,0.9643502248674943,0.09300700924244482,0.9402353724233533,0.4930290973063586,0.2520300729123641,0.3970462368886882,0.8448893291336739,1.0845700464850907,49.97536260529436,0.010805156829965967,0.2663809800555237,0.14464802843198576,2.9555400527985287,5.251196961404748,0.5783890884007388,1.4389865424431667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,341.2255570058768,free_3_start_drift_rate_Semantic_CMR,0.6565452949009782,0.2621838638702176,0.3931218124154645,0.26625612887074407,0.7305907352418582,0.20904823588186613,0.36976436582448013,0.949060075675417,2.0992711339665306,92.20109001668665,0.0019909267736813916,0.4442984317705271,0.2639534171414008,2.611378761458057,3.5840655896599607,0.34110197647542745,0.8935582245366654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.13525043963813,free_3_start_drift_rate_Semantic_CMR,0.4529598538910746,0.06507696197620683,0.01825016062472201,0.4446137460828087,0.674535035661994,0.15059581880726608,0.8522380952979338,0.9108034569968042,9.12019211902301,12.300554621524526,0.053257673885558465,0.1989052131487492,0.19275860305901027,3.625312077711828,2.9209848120218815,0.27139108538760803,2.4473083175232313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.7502774726773,free_3_start_drift_rate_Semantic_CMR,0.7770647974931298,0.3102352088028856,0.7282796495273625,0.3968534064829545,0.9888013453740441,0.6618381795902621,0.9446803645370384,0.3564696704479557,1.7918021404537328,36.32719615927412,0.0017683401366456186,0.39738055236869574,0.3472305063547294,6.720907399013157,6.277696797506449,0.0488546831055961,0.34852591240316144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.97230233386352,free_3_start_drift_rate_Semantic_CMR,0.8215739250190448,0.034900122420351454,0.09630333543971192,0.43567081610514835,0.36896757719823975,0.08326610943803031,0.7740247995006967,0.6544714411770813,1.6511948723967222,11.113912082032243,0.02407274196868414,0.21448715557068,0.19407007791780906,2.549258938673944,3.100101417277519,0.2593965573888084,0.4321258379537287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,263.04036641758483,free_3_start_drift_rate_Semantic_CMR,0.3702431667765062,0.14541764997022172,0.49550479309280976,0.38668769563618655,0.9628827819722102,0.8206272072906488,0.11710646092754337,0.6210594199896786,0.7611151804617861,6.793853021834207,0.01338660565736754,0.3777352659834308,0.2032503932875889,8.644063918821221,8.685936801125278,0.8463761019078858,0.5475800532052457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,260.7400143632758,free_3_start_drift_rate_Semantic_CMR,0.5845788590782157,0.1025457342074027,0.3232325862721769,0.4386101615102552,0.9891351210256911,0.7222378313905872,0.8835380856262687,0.9134613602231123,0.1517431943475458,9.512429819620273,0.01826169939541189,0.2333744224580787,0.21291791961672768,6.868721384686731,6.0817753711473514,0.4918094638939471,0.7703418939666271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,296.7841411708886,free_3_start_drift_rate_Semantic_CMR,0.4939244344934217,0.0499913256456462,0.18698954347494867,0.565540876074114,0.9993603590105713,0.4487489185981539,0.6576528417684548,0.6394677790743338,13.261978436156387,87.72625521588917,0.004197972920094568,0.3616011034343533,0.2825816498535643,4.863317405135991,3.4341748984770364,0.1544509171746576,0.6043709269291142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
