subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
28,8,342.8966031945116,free_2_stop_probability_scale_Semantic_CMR,0.745926651646219,0.3099340344312851,0.9410711370601986,0.9309629559448152,0.7061258954420865,0.4589674830305751,0.6791940013760832,3.4064029306032992,94.50257915253903,0.00561830436722438,0.026610352318137798,0.24969475780116124,0.05335563703347024,9.147056615334108,0.09097161285699001,0.7260746496347892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,258.5077530439375,free_2_stop_probability_scale_Semantic_CMR,0.7044045536979814,0.6389060675455971,0.67669960371588,0.8340191788910378,0.30823883944468344,0.5293871857192263,0.4398725502905373,0.32467164469920107,59.17385682793419,0.08119804605274494,0.00698611779903785,0.14039906124541268,0.11959248703421022,8.098313863126714,0.9719331896825865,0.10191506068879885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,249.36913141748607,free_2_stop_probability_scale_Semantic_CMR,0.8940454552192147,0.13005189463331263,0.3997360181838809,0.9715945459968593,0.37327142364029137,0.7093997626650899,0.7009647944270709,0.14310060222388898,94.78662815309086,0.035955443292040035,0.0045797357330884525,0.1531781987753531,0.28218936945906226,4.532991737200626,0.0873585420841978,0.40995815092569643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,264.4780488618618,free_2_stop_probability_scale_Semantic_CMR,0.5527299273746515,0.3046797332434913,0.236116345698062,0.7109698439374487,0.6118423302227793,0.38702003542271396,0.6553390615781223,11.58348564105458,18.634800414554565,0.0007334503182487295,0.017854783903184457,0.5046421222477315,0.19250146624959275,2.8081550579470935,0.8577575620463727,8.780992759886312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,273.2431346156037,free_2_stop_probability_scale_Semantic_CMR,0.8260946254717672,0.5423955367847141,0.7243253637835462,0.9905444481228387,0.8812281083547631,0.4343827165233436,0.7143077824904034,3.03866568422513,14.522423752092081,0.010868971782288739,0.0010777242068283344,0.2651963904576853,0.5417300392646132,2.1124578507626737,0.3217487135157574,2.902059954635833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,227.30341453012406,free_2_stop_probability_scale_Semantic_CMR,0.5890447989248477,0.01027668273851671,0.5270867411239137,0.25847016034316483,0.0017968936393648566,0.8518620082264075,0.3622743306557046,6.125610124581857,68.88932043916223,0.0034099377924133364,0.021092466218432693,0.5014210467670182,0.23238334995193458,1.2565118710826166,0.005285990918844231,0.6046771895648665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,314.0969194355071,free_2_stop_probability_scale_Semantic_CMR,0.6174305406913847,0.6577039290867,0.37735007501912854,0.8601205069110887,0.6689890355937481,0.8502476866856312,0.5073953093239972,1.0923142779795256,49.20746453895298,0.001571653396158279,0.0016050309591478795,0.42438685571974766,0.333384029128859,4.4196430617999924,0.6607531345038614,2.4092943964180167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,199.06363288498977,free_2_stop_probability_scale_Semantic_CMR,0.8435141085270339,0.048129354952167525,0.06438807159975063,0.8719557386736951,0.13803111520462602,0.7854281440510106,0.9327584089077439,7.946351740779214,43.99215799742154,0.005264043102991389,0.011287358847652584,0.6275113157106249,0.40725722796649677,1.6243937966822797,0.09715678093897101,0.038031828634615295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,281.24695433955605,free_2_stop_probability_scale_Semantic_CMR,0.9503128627675868,0.649491467242275,0.5827772012834614,0.8888026020630998,0.4344313391454721,0.6040527556206274,0.20551496540540704,65.75293783826716,0.10318807153001414,0.042797694281092286,0.051176219066104395,0.19076346691135107,0.09799817525969594,1.9389550480716957,0.25374434062493656,6.146293902303564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.83376719095975,free_2_stop_probability_scale_Semantic_CMR,0.2907640428414835,0.13940288354001412,0.23277647103428145,0.4278201687801507,0.2839282606441087,0.3353699164379458,0.2893395300346693,12.453532929737065,70.64092789921077,0.030961884590621325,0.002763174881123265,0.24732184242770927,0.5136964204828818,1.5173839720772202,0.6019362161530464,5.069930634788635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
