index,subject,input,recall,source
1,106,2,0.0,data
2,106,3,0.0,data
3,106,4,0.0,data
4,106,5,0.0,data
5,106,6,0.0,data
6,106,7,0.0,data
7,106,8,0.0,data
8,106,9,0.0,data
9,106,10,0.0,data
10,106,11,0.0,data
11,106,12,0.0,data
12,106,13,0.0,data
13,106,14,0.07142857142857142,data
14,106,15,0.21428571428571427,data
15,106,16,0.6785714285714286,data
0,107,1,0.0,data
1,107,2,0.0,data
2,107,3,0.0,data
3,107,4,0.0,data
4,107,5,0.0,data
5,107,6,0.0,data
6,107,7,0.0,data
7,107,8,0.0,data
8,107,9,0.0,data
9,107,10,0.0,data
10,107,11,0.0,data
11,107,12,0.0,data
12,107,13,0.0,data
13,107,14,0.0,data
14,107,15,0.0,data
15,107,16,1.0,data
0,108,1,0.07142857142857142,data
1,108,2,0.0,data
2,108,3,0.0,data
3,108,4,0.0,data
4,108,5,0.0,data
5,108,6,0.0,data
6,108,7,0.0,data
7,108,8,0.03571428571428571,data
8,108,9,0.0,data
9,108,10,0.0,data
10,108,11,0.03571428571428571,data
11,108,12,0.0,data
12,108,13,0.10714285714285714,data
13,108,14,0.10714285714285714,data
14,108,15,0.35714285714285715,data
15,108,16,0.2857142857142857,data
0,110,1,0.07142857142857142,data
1,110,2,0.0,data
2,110,3,0.03571428571428571,data
3,110,4,0.0,data
4,110,5,0.0,data
5,110,6,0.0,data
6,110,7,0.0,data
7,110,8,0.0,data
8,110,9,0.0,data
9,110,10,0.0,data
10,110,11,0.10714285714285714,data
11,110,12,0.07142857142857142,data
12,110,13,0.03571428571428571,data
13,110,14,0.14285714285714285,data
14,110,15,0.35714285714285715,data
15,110,16,0.17857142857142858,data
0,111,1,0.10714285714285714,data
1,111,2,0.03571428571428571,data
2,111,3,0.0,data
3,111,4,0.03571428571428571,data
4,111,5,0.0,data
5,111,6,0.0,data
6,111,7,0.03571428571428571,data
7,111,8,0.0,data
8,111,9,0.03571428571428571,data
9,111,10,0.07142857142857142,data
10,111,11,0.03571428571428571,data
11,111,12,0.14285714285714285,data
12,111,13,0.0,data
13,111,14,0.0,data
14,111,15,0.17857142857142858,data
15,111,16,0.32142857142857145,data
0,112,1,0.03571428571428571,data
1,112,2,0.0,data
2,112,3,0.0,data
3,112,4,0.0,data
4,112,5,0.0,data
5,112,6,0.0,data
6,112,7,0.0,data
7,112,8,0.0,data
8,112,9,0.03571428571428571,data
9,112,10,0.0,data
