subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
39,8,261.5522147131672,free_3_stop_probability_scale_Semantic_CMR,0.40928297967147037,0.1629779747209273,0.4883943553349973,0.18216525479500922,0.5324404523082531,0.9180854690919302,0.03722719074193925,9.835362196037615,27.67855342024832,0.05009671734330012,0.0013566430683855102,0.20745334035715324,0.5909669858529929,2.728124789887112,2.6459631087121647,0.4828761788573377,2.7856277862040377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,364.69336766352166,free_3_stop_probability_scale_Semantic_CMR,0.5450060682755046,0.6013707472202497,0.8802042622370871,0.6980175271052789,0.7730508309593026,0.19622169140487494,0.1432543207748289,12.30199312818371,0.6105205232039168,0.003301549243746593,0.007185827023791003,0.23493420958225286,0.20437139857551223,2.3812256772493616,3.0751592139385977,0.07771814116840653,8.671032279755462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.49242679238614,free_3_stop_probability_scale_Semantic_CMR,0.6859936830977852,0.5495767397621224,0.8155496974790066,0.9146799128170422,0.2531923451222166,0.15253691818247167,0.6623897203175028,0.45122568128712004,76.01120853503292,0.003988514394247578,0.022431478659659998,0.253568126477032,0.17064083690077592,5.892896766559965,5.9825727126288895,0.5957845281147814,0.28386485662038297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,222.22941954427733,free_3_stop_probability_scale_Semantic_CMR,0.8398688401595797,0.6347781427165067,0.24901972454187482,0.9583541773115026,0.9691461859786114,0.7133314627120493,0.7028956647752758,2.359769726773841,0.14819403756484917,0.10996896221001157,0.014075448195162321,0.03617429703744168,0.23200760957496147,8.848717234842718,7.26052467184673,0.8576939100110716,1.2383404297364233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,211.72561126272635,free_3_stop_probability_scale_Semantic_CMR,0.5582184119464492,0.02564500217240817,0.32879880934855743,0.1546042550369266,0.022542828676541393,0.4243757583103136,0.9581475800270189,6.465643826448385,50.38156446038502,0.0027318551122981205,0.03770428436738277,0.5719261429980289,0.1395724117135142,2.293965091872159,3.2902717364505136,0.07674898866088586,1.0618127249800278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.82165894099631,free_3_stop_probability_scale_Semantic_CMR,0.5202696696232658,0.05440091610792647,0.9991587581754712,0.025465207611469087,0.31596882565863516,0.6626667848150195,0.8728973319313711,3.6103124564805213,12.822313731935473,0.05343392011482173,0.07300412292074238,0.3391278053908291,0.3062253367245118,6.269054091046716,4.918481596046072,0.04318219637378734,0.1979890916732847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,216.31129721698744,free_3_stop_probability_scale_Semantic_CMR,0.7935985470847213,0.04672087788139051,0.2727202808505985,0.36199293109591874,0.9883151104084177,0.6063275570793734,0.5539283600350499,10.750246976170928,42.75896328577193,0.032063127528614455,0.012066764039113553,0.26767596997100185,0.3461809781545728,1.9888724963498348,4.210177810204519,0.43504952560370325,3.8940287804398963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,304.6912458450066,free_3_stop_probability_scale_Semantic_CMR,0.9196377613847058,0.011178523282239863,0.3053612271360254,0.5416870209438222,0.26001186022089046,0.9967113578164184,0.49419178352794496,17.076625730523862,76.84368133226671,0.011391452593652283,0.018236235238200154,0.23248304459453836,0.19617699600669172,3.3593053282687624,3.6862019747204275,0.04116954481866717,0.35334798242350035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,305.8703635293042,free_3_stop_probability_scale_Semantic_CMR,0.6353580757431122,0.25535324202467324,0.19542157158204324,0.6842392113564558,0.17420155720268918,0.6092495524079532,0.6015717019811329,2.6964519984940267,39.41328918543614,0.029782232127080605,0.022241970400255006,0.22419472794769701,0.0735563234526668,3.3193088371121098,4.110465787418919,0.013663995838003214,0.15658535210059485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,227.14509528565708,free_3_stop_probability_scale_Semantic_CMR,0.637842726439448,0.06813619219551881,0.4538671194237156,0.880840484051945,0.22014836956022238,0.8313271076732685,0.5824702846849146,2.5507709095062836,63.858773021012325,0.016225009043784544,0.035584177870915945,0.3480477828647155,0.14575304158599778,5.194821278578717,3.133303406226027,0.16309250736625863,0.39811253647365685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
