subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate
46,8,299.21577563711514,free_2_semantic_scale_Semantic_CMR,0.9097721928034607,0.03239440878138324,0.4429214043988556,0.6515608441018989,0.46952382760956146,0.945392644498303,0.524883312071442,23.383469397286486,2.1508313647646893,0.00944430999960543,0.2672319197057005,0.25095833440303245,4.439402100706986,0.02153219530419584,0.679915815168479,0.25813159532099605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,303.93204589548986,free_2_semantic_scale_Semantic_CMR,0.6469885628697474,0.3042323811848594,0.4096631318975096,0.6671697573675224,0.1874610666830822,0.39978545836857976,0.7597887822528127,2.955115544500231,79.8609986983626,0.004100375703321002,0.39179243855391377,0.17325763162369956,4.662963616861618,0.10663313701285543,0.17813310244961045,0.3215735832197719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.46266763665705,free_2_semantic_scale_Semantic_CMR,0.6358121916360007,0.29237258502027197,0.002987225267993332,0.4822906596571089,0.01629280898380908,0.9348511310228744,0.45812687105654276,0.7707912726408139,45.0174573372928,0.007071425211574722,0.44841942765103315,0.26868562082302105,2.2829800476106525,0.10114528747390233,0.4474358685191646,0.5734571106375226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,183.29112793471623,free_2_semantic_scale_Semantic_CMR,0.9796226020379828,0.029381111358337986,0.21430690092650106,0.47505428957379026,0.022893536699763628,0.6672919989385712,0.5754755370771526,22.963589964595332,46.08382117524816,0.026428002115591542,0.4653572961878991,0.2312718870133601,1.7193221408029267,0.21677183489230578,6.847931849458191,2.6272678127338027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,312.0939125039173,free_2_semantic_scale_Semantic_CMR,0.767639639815418,0.08360992646588544,0.3175610993274579,0.7889173645707744,0.48531036421360735,0.6664757020930708,0.5034788137203096,10.222990687170366,81.77391556751026,0.0016684880022732052,0.37559829766366803,0.337800683588406,2.5173235837888654,0.14081278147729676,2.3509588491598707,6.716270912085578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,275.68302617338867,free_2_semantic_scale_Semantic_CMR,0.5492059181928557,0.17990738819108384,0.7332320120694712,0.9208928235718045,0.04999325048046425,0.07436447506037765,0.15129025202610402,0.21884083416450834,66.7716674069218,0.00827293579690545,0.36359584514217796,0.2057409881083031,2.1616640353202,0.19486914109041067,1.6645627664346923,1.144386511104455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,264.9038900512859,free_2_semantic_scale_Semantic_CMR,0.7174614745751469,0.31476189395127996,0.46204642741448354,0.05618422648937821,0.13989727759102982,0.10076498348510554,0.5225740919096473,7.3966275576867915,2.7079542905756426,0.0014293853709656523,0.5700047055296755,0.39610894860193113,0.9994917524213394,0.3586383115268297,1.4325500253674104,1.0669763874077098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,261.3923130759614,free_2_semantic_scale_Semantic_CMR,0.8503115796842919,0.6933558096715765,0.6467012241398569,0.5260741596349137,0.5098077716893648,0.17928289765880362,0.1344960438211938,0.9064651370937824,45.67771605872788,0.004987654250648732,0.22519884841480664,0.3763779694336682,6.947130435907104,0.09699411476104597,0.45183145501044475,0.30342760984950523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,222.0394073097368,free_2_semantic_scale_Semantic_CMR,0.9071382287077019,0.14501075514300438,0.8557582895016032,0.46081366071319957,0.6301864654965159,0.3715992755204092,0.7029545700324996,6.589784889712867,51.52567229732248,0.023391249571927508,0.28765937776169626,0.204786740424872,1.422303641553576,0.526596704508494,0.022701487948023846,1.2841707149720794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,313.37157425992257,free_2_semantic_scale_Semantic_CMR,0.74425702920537,0.7283646464409529,0.7120324662270909,0.9856875969171239,0.29728598131640493,0.034302004203158765,0.5835472485758642,18.397872258423842,1.132404923277008,0.003229381508146112,0.27878084355324617,0.2633542729510454,2.57950392659938,0.5299303505040129,8.288152189470214,0.4569006059188121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,274.2240890267877,free_2_semantic_scale_Semantic_CMR,0.7046241163132849,0.05526386644419734,0.6545664055079083,0.6469852822795175,0.15452060412949958,0.46366624142440693,0.38293755343459474,47.24766013657658,0.6864492999609837,0.002731278994378361,0.49958238819950296,0.3926751141630742,1.9272200124260772,0.2052462919394324,4.299676250402994,8.443637686594467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,252.14238684665227,free_2_semantic_scale_Semantic_CMR,0.8946157617454886,0.2865379878500547,0.5605555131882891,0.5614389578972856,0.4040980698530135,0.8494272809012542,0.2879573757787648,1.0572493552019822,5.163853807426271,0.013988749257303146,0.21139399689898752,0.2797433991145102,2.2170556085190727,0.3655328511437111,1.0144465886608605,4.430070196049428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,258.4565402910341,free_2_semantic_scale_Semantic_CMR,0.5938550481170871,0.7478427363030203,0.5810688816324117,0.4341646407891404,0.05227790262193938,0.24477483635624098,0.8664493203587742,1.4950201135661938,34.59807650463918,0.003054781726485235,0.5100888780637552,0.33781177577811533,1.9435834628373005,0.07869355953853457,2.1749220622096064,6.766947402743434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
