subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
28,8,341.0805407172143,free_primacy_decay_Semantic_CMR,0.8180819504181316,0.09516560658831258,0.8446582167830536,0.7275282091938119,0.8092565450607948,0.9188988107043652,5.7021376483200115,44.2656562975198,78.06998662101671,0.004846997181077062,0.1987016536281665,9.365395205328749,0.15571611896179893,0.7670824810621832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.1241113413666,free_primacy_decay_Semantic_CMR,0.7504346693456242,0.23860832560830214,0.7960901161201712,0.4551068231227768,0.22575696430155356,0.6842108120303728,2.9404008675314515,57.85568889814968,0.7914970701815847,0.025292838170487997,0.08750534363453077,7.793110391642953,0.7227019086615426,0.24107015942263477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,252.2963496313066,free_primacy_decay_Semantic_CMR,0.9311832130298976,0.20273617687162176,0.7431940176871299,0.1722331594020569,0.464552767879166,0.3490068244379638,0.7787470112368879,95.76702617960089,27.84574621931375,0.013945296866895107,0.2541621879956315,3.621652651769013,0.2170156609763288,0.40332779046418565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.83254905987013,free_primacy_decay_Semantic_CMR,0.6580401068870854,0.05585073210627223,0.393440409378727,0.8720012342779739,0.9529830994569403,0.8682271496237108,16.008583998392304,12.632208487884014,64.38115641513342,0.012948141472859609,0.27211396846873814,5.439631648838437,0.5155044268056823,3.065517170882294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,273.76554681086907,free_primacy_decay_Semantic_CMR,0.4933169604221679,0.3673208498877711,0.45178811240553507,0.10759885174706274,0.9680848480270823,0.8319987831023765,0.22894971527674812,11.174313641822266,64.1227837413887,0.0027172313667648273,0.39603120744742704,3.235326347697845,0.4367559476467149,0.8358061967005712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.54378690083342,free_primacy_decay_Semantic_CMR,0.5503070563863813,0.01385213397370677,0.34890598070423545,0.034583212629026694,0.35317403090439936,0.7374770634446807,2.475208494773362,54.16235853949431,27.43295665963254,0.005630879256795007,0.4504311783996897,1.944717564456849,0.013373345313169527,0.45021956971885935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,314.8983147145926,free_primacy_decay_Semantic_CMR,0.7866734104598158,0.047158466016430256,0.8624078662267749,0.5108181826093019,0.664795718058524,0.893542334967514,1.8553264243762797,41.83377680398024,65.83450376559709,0.003823588891944174,0.2924998950903328,4.851299270288538,0.37742951884991804,0.8574490844939229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.5610140999068,free_primacy_decay_Semantic_CMR,0.5718351476529143,0.04174788660874795,0.2573584795158486,0.0415042383130528,0.7891926613252187,0.5789678522581291,2.617445602972338,45.89897552417512,61.335704749186334,0.00280711630427892,0.609492248554582,1.4512862092335255,0.09837170439704813,0.23601640426167328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,283.04986974730775,free_primacy_decay_Semantic_CMR,0.7047266764533611,0.5668923705920835,0.6559740273784114,0.7883385976760082,0.7392680845099195,0.08724838327909995,2.7192907111822677,15.713292446426173,34.39274339456121,0.011587567006945965,0.22836353885354832,5.35717220826167,0.220225823010252,0.4480190408217162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,262.16280864528056,free_primacy_decay_Semantic_CMR,0.2954100633251956,0.026293362420297173,0.1331093089469213,0.2187040574364742,0.12936796950627155,0.5209173115489201,11.159136405529615,58.47370989362424,66.44511208427161,0.0028640678627004923,0.5336981120430799,1.5456676940481788,0.5632996848775684,9.166308944591762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
