subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_semantic_scale
22,8,274.23776457797055,free_2_delay_drift_rate_Semantic_CMR,0.6818395740702711,0.4069716755019026,0.6104834085467472,0.9963524373899072,0.02457852600863719,0.19251031633074106,0.34961221563520345,2.506438172543376,55.07410743195508,0.015619267030903161,0.18034336937375972,0.19038195018375959,2.5107913663519716,0.22760562633360787,0.835518293483605,0.42905213825456023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,199.01036322811413,free_2_delay_drift_rate_Semantic_CMR,0.9366453780705037,0.009260047484675293,0.2102395845835605,0.35994887997644576,0.10270307587950889,0.2762155174664242,0.9404564582620667,11.42962684874741,17.47966257857906,0.010962716077643653,0.4312836277050911,0.35491700826342587,2.2242008551510386,0.5693354063311855,0.6304080562399863,1.1678513780647375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,181.7106319598331,free_2_delay_drift_rate_Semantic_CMR,0.8350644144036128,0.25139291320731183,0.3948912276152778,0.7095281465061736,0.09860754867105206,0.9881636503663116,0.5325321153591793,0.7909256264257014,76.84420708854097,0.02094678808195737,0.5685572479385522,0.2138610711473642,1.4010021086650115,0.010955978606060355,0.021157443061149292,0.15821489356753993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,253.38672310628817,free_2_delay_drift_rate_Semantic_CMR,0.4872030755479554,0.700323665614375,0.496709123265332,0.9933698334588389,0.793345284189665,0.9100276970644929,0.5937328094979687,3.3928916005014145,23.631031548726234,0.006282358392468934,0.5001842466943991,0.25787208609384304,3.5475666611665297,0.9180360015371263,0.1887861602151964,2.099084148090795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,286.5452459760312,free_2_delay_drift_rate_Semantic_CMR,0.8416236025050365,0.08094247934407323,0.637896083030258,0.6857734142413444,0.32277735005797215,0.95576619454612,0.10491834150739293,0.7052616615077199,96.24431397666415,0.0033892878005768456,0.41813306224953006,0.2595724563676969,3.758865040475686,0.32933306947929886,0.07888422042904103,1.0931736354947965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,340.1153460762511,free_2_delay_drift_rate_Semantic_CMR,0.6075886063686192,0.6161482115322758,0.8475328718320418,0.8975317134933274,0.6211826168929209,0.7224585033087748,0.5664910328210286,1.615038518696828,56.52939417646717,0.001306880242192665,0.33064027098146465,0.21095632017154564,8.503063880522756,0.10583064927965197,0.2201062152680675,1.051659428024847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,258.71763817952996,free_2_delay_drift_rate_Semantic_CMR,0.7593976336411911,0.13931286064404008,0.7769494820188058,0.8059398256848396,0.46638669186231146,0.5852610367500558,0.3741533267093166,3.2269021411052563,13.920835327018231,0.03932599015260685,0.1833832514469238,0.03672683081338768,9.57402037708778,0.8273129886071271,0.9028324079183236,0.07858139272012465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.63925916376627,free_2_delay_drift_rate_Semantic_CMR,0.9203216986192982,0.21328807262562224,0.6115958134059735,0.9597648198785789,0.20157838683150564,0.8767336629221161,0.26207795962291147,0.028654427675415418,80.1268116189829,0.01754028995241629,0.24278927862163804,0.19671611020857155,3.725603708889915,0.1060187291092238,0.1659921657953992,0.29892952450418997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.26259360064205,free_2_delay_drift_rate_Semantic_CMR,0.8139710740080681,0.16263520703919382,0.34166612832381327,0.2729501991907177,0.699257357352811,0.3694620131940197,0.9070212042916106,8.89992123508825,47.85531021073128,0.0035911143123153466,0.39217739561282805,0.34235180088701433,5.325568205705583,0.5769560372584162,0.5756545456401985,1.4255964264638123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,272.70252813198636,free_2_delay_drift_rate_Semantic_CMR,0.6183778914062286,0.8907630383722537,0.32431886842175367,0.6774927920254262,0.7666677357600432,0.40317541849395633,0.6214108486658476,0.1310825311275292,31.330631588145845,0.002027499361128836,0.40687709045915027,0.49062633891206536,2.5086618449769937,0.4387060943023835,0.5409800729982451,3.612190321070767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.53096979516496,free_2_delay_drift_rate_Semantic_CMR,0.5266581463060921,0.1308553162033798,0.19237207715879306,0.20290708860468942,0.015096834857680153,0.7488501346444743,0.701468958601054,0.8741390592213492,57.46877166677906,0.004326612882486258,0.44221056500307654,0.44176531951134734,2.340069497643558,0.17338119963228482,0.10673648747039682,0.5683994801584991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,310.8852459879888,free_2_delay_drift_rate_Semantic_CMR,0.7802660922949849,0.23449403437664237,0.47237664329390877,0.8117262873718238,0.6861357138361845,0.07525197872277416,0.8176244406935461,1.0378435878092214,43.498476602562995,0.0005125326875677933,0.5169683969179606,0.4223561879011452,6.709107382365906,0.3322479545196612,0.19099508445169486,1.0916541445247219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,205.75667934481686,free_2_delay_drift_rate_Semantic_CMR,0.7199767333772963,0.02022322549035357,0.5745388315706736,0.7695537898044812,0.0592877135059523,0.615627114071607,0.5811233968328986,27.004003813502322,92.98177738562032,0.00435958341152439,0.43401722593721825,0.515258186518946,1.2552074831503877,0.04796315529795141,0.3556395367322858,0.44889639636536266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,278.8710251096462,free_2_delay_drift_rate_Semantic_CMR,0.8541890064466118,0.3136902593751584,0.4187872380561338,0.6228462328305353,0.6610039759067324,0.985603236495487,0.17752075853348143,15.56002838422068,0.11175992689658187,0.016233575443370563,0.24626005305360188,0.1885680610032523,2.626609081726325,0.7620769389085744,0.8111002373028167,3.3291662028413285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,263.11280894150707,free_2_delay_drift_rate_Semantic_CMR,0.21923383252654915,0.09091732943102859,0.5517372696980829,0.39647261449113974,0.955959608640062,0.5254643937563765,0.6293204434666841,8.858574148827962,63.68761110812291,0.0044157222928484785,0.4595227220123759,0.45807428548208673,2.254927319527261,0.10024381897607842,0.39565457884563143,9.121979587299599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
