index,subject,lag,prob,source,positive
8,41,3,0.0,data,True
9,41,4,0.09090909090909091,data,True
10,41,5,0.058823529411764705,data,True
0,42,-5,0.06896551724137931,data,False
1,42,-4,0.034482758620689655,data,False
2,42,-3,0.03333333333333333,data,False
3,42,-2,0.030303030303030304,data,False
4,42,-1,0.13333333333333333,data,False
5,42,0,,data,False
6,42,1,0.3829787234042553,data,True
7,42,2,0.022727272727272728,data,True
8,42,3,0.0,data,True
9,42,4,0.027777777777777776,data,True
10,42,5,0.0,data,True
0,43,-5,0.0,data,False
1,43,-4,0.043478260869565216,data,False
2,43,-3,0.041666666666666664,data,False
3,43,-2,0.12,data,False
4,43,-1,0.0,data,False
5,43,0,,data,False
6,43,1,0.11538461538461539,data,True
7,43,2,0.0,data,True
8,43,3,0.08,data,True
9,43,4,0.0,data,True
10,43,5,0.0,data,True
0,44,-5,0.0,data,False
1,44,-4,0.0,data,False
2,44,-3,0.0,data,False
3,44,-2,0.0,data,False
4,44,-1,0.15384615384615385,data,False
5,44,0,,data,False
6,44,1,0.0,data,True
7,44,2,0.1,data,True
8,44,3,0.2,data,True
9,44,4,0.0,data,True
10,44,5,0.125,data,True
0,45,-5,0.038461538461538464,data,False
1,45,-4,0.0,data,False
2,45,-3,0.03333333333333333,data,False
3,45,-2,0.09375,data,False
4,45,-1,0.1,data,False
5,45,0,,data,False
6,45,1,0.17857142857142858,data,True
7,45,2,0.0,data,True
8,45,3,0.0,data,True
9,45,4,0.034482758620689655,data,True
10,45,5,0.0,data,True
0,46,-5,0.0,data,False
1,46,-4,0.0,data,False
2,46,-3,0.0,data,False
3,46,-2,0.08333333333333333,data,False
4,46,-1,0.10256410256410256,data,False
5,46,0,,data,False
6,46,1,0.14705882352941177,data,True
7,46,2,0.15151515151515152,data,True
8,46,3,0.05405405405405406,data,True
9,46,4,0.0,data,True
10,46,5,0.029411764705882353,data,True
0,47,-5,0.061224489795918366,data,False
1,47,-4,0.0625,data,False
2,47,-3,0.06,data,False
3,47,-2,0.10416666666666667,data,False
4,47,-1,0.2978723404255319,data,False
5,47,0,,data,False
6,47,1,0.125,data,True
7,47,2,0.125,data,True
8,47,3,0.10256410256410256,data,True
9,47,4,0.075,data,True
10,47,5,0.0,data,True
0,48,-5,0.08333333333333333,data,False
1,48,-4,0.03571428571428571,data,False
2,48,-3,0.038461538461538464,data,False
3,48,-2,0.03333333333333333,data,False
4,48,-1,0.15625,data,False
5,48,0,,data,False
6,48,1,0.07142857142857142,data,True
7,48,2,0.14814814814814814,data,True
8,48,3,0.0,data,True
9,48,4,0.045454545454545456,data,True
10,48,5,0.045454545454545456,data,True
0,49,-5,0.043478260869565216,data,False
1,49,-4,0.0,data,False
2,49,-3,0.07407407407407407,data,False
3,49,-2,0.06666666666666667,data,False
4,49,-1,0.07407407407407407,data,False
5,49,0,,data,False
6,49,1,0.08,data,True
7,49,2,0.0,data,True
8,49,3,0.047619047619047616,data,True
9,49,4,0.0,data,True
10,49,5,0.0,data,True
0,50,-5,0.06451612903225806,data,False
1,50,-4,0.03333333333333333,data,False
2,50,-3,0.03125,data,False
3,50,-2,0.06060606060606061,data,False
4,50,-1,0.09375,data,False
5,50,0,,data,False
6,50,1,0.21951219512195122,data,True
7,50,2,0.05128205128205128,data,True
8,50,3,0.027777777777777776,data,True
9,50,4,0.027777777777777776,data,True
10,50,5,0.02857142857142857,data,True
0,51,-5,0.02857142857142857,data,False
1,51,-4,0.0625,data,False
2,51,-3,0.06060606060606061,data,False
3,51,-2,0.02631578947368421,data,False
4,51,-1,0.14285714285714285,data,False
5,51,0,,data,False
6,51,1,0.24324324324324326,data,True
7,51,2,0.02564102564102564,data,True
8,51,3,0.05263157894736842,data,True
9,51,4,0.027777777777777776,data,True
10,51,5,0.07142857142857142,data,True
0,52,-5,0.041666666666666664,data,False
1,52,-4,0.0,data,False
2,52,-3,0.047619047619047616,data,False
3,52,-2,0.037037037037037035,data,False
4,52,-1,0.07407407407407407,data,False
5,52,0,,data,False
6,52,1,0.1875,data,True
7,52,2,0.125,data,True
8,52,3,0.09375,data,True
9,52,4,0.0,data,True
10,52,5,0.1111111111111111,data,True
0,53,-5,0.0,data,False
1,53,-4,0.0,data,False
2,53,-3,0.0,data,False
3,53,-2,0.15789473684210525,data,False
4,53,-1,0.1,data,False
5,53,0,,data,False
6,53,1,0.17857142857142858,data,True
7,53,2,0.14285714285714285,data,True
8,53,3,0.0,data,True
9,53,4,0.03571428571428571,data,True
10,53,5,0.07407407407407407,data,True
0,54,-5,0.0,data,False
1,54,-4,0.0,data,False
2,54,-3,0.041666666666666664,data,False
3,54,-2,0.038461538461538464,data,False
4,54,-1,0.11538461538461539,data,False
5,54,0,,data,False
6,54,1,0.08695652173913043,data,True
7,54,2,0.038461538461538464,data,True
8,54,3,0.08333333333333333,data,True
9,54,4,0.0,data,True
10,54,5,0.0,data,True
0,55,-5,0.0,data,False
1,55,-4,0.06896551724137931,data,False
2,55,-3,0.06451612903225806,data,False
3,55,-2,0.1111111111111111,data,False
4,55,-1,0.16216216216216217,data,False
5,55,0,,data,False
6,55,1,0.2553191489361702,data,True
7,55,2,0.08333333333333333,data,True
8,55,3,0.08695652173913043,data,True
9,55,4,0.023255813953488372,data,True
10,55,5,0.09302325581395349,data,True
0,56,-5,0.04,data,False
1,56,-4,0.09375,data,False
2,56,-3,0.06060606060606061,data,False
3,56,-2,0.0,data,False
4,56,-1,0.17142857142857143,data,False
5,56,0,,data,False
6,56,1,0.11764705882352941,data,True
7,56,2,0.05555555555555555,data,True
8,56,3,0.05555555555555555,data,True
9,56,4,0.030303030303030304,data,True
10,56,5,0.14285714285714285,data,True
0,57,-5,0.037037037037037035,data,False
1,57,-4,0.034482758620689655,data,False
2,57,-3,0.07407407407407407,data,False
3,57,-2,0.1111111111111111,data,False
4,57,-1,0.0,data,False
5,57,0,,data,False
6,57,1,0.08,data,True
7,57,2,0.041666666666666664,data,True
8,57,3,0.045454545454545456,data,True
9,57,4,0.0,data,True
10,57,5,0.0,data,True
