index,subject,bin,prob,source
7,67,1.0,,data
8,67,1.0,,data
9,67,1.0,,data
0,68,0.0,0.05945945945945946,data
1,68,0.0,,data
2,68,0.0,,data
3,68,1.0,0.026829268292682926,data
4,68,1.0,,data
5,68,1.0,,data
6,68,1.0,,data
7,68,1.0,,data
8,68,1.0,,data
9,68,1.0,,data
0,69,0.0,0.08484848484848485,data
1,69,0.0,,data
2,69,0.0,,data
3,69,1.0,0.022613065326633167,data
4,69,1.0,,data
5,69,1.0,,data
6,69,1.0,,data
7,69,1.0,,data
8,69,1.0,,data
9,69,1.0,,data
0,70,0.0,0.09252669039145907,data
1,70,0.0,,data
2,70,0.0,,data
3,70,1.0,0.03307086614173228,data
4,70,1.0,,data
5,70,1.0,,data
6,70,1.0,,data
7,70,1.0,,data
8,70,1.0,,data
9,70,1.0,,data
0,71,0.0,0.10176991150442478,data
1,71,0.0,,data
2,71,0.0,,data
3,71,1.0,0.023172905525846704,data
4,71,1.0,,data
5,71,1.0,,data
6,71,1.0,,data
7,71,1.0,,data
8,71,1.0,,data
9,71,1.0,,data
0,72,0.0,0.10652920962199312,data
1,72,0.0,,data
2,72,0.0,,data
3,72,1.0,0.0219435736677116,data
4,72,1.0,,data
5,72,1.0,,data
6,72,1.0,,data
7,72,1.0,,data
8,72,1.0,,data
9,72,1.0,,data
0,73,0.0,0.07567567567567568,data
1,73,0.0,,data
2,73,0.0,,data
3,73,1.0,0.02247191011235955,data
4,73,1.0,,data
5,73,1.0,,data
6,73,1.0,,data
7,73,1.0,,data
8,73,1.0,,data
9,73,1.0,,data
0,74,0.0,0.06103286384976526,data
1,74,0.0,,data
2,74,0.0,,data
3,74,1.0,0.03696098562628337,data
4,74,1.0,,data
5,74,1.0,,data
6,74,1.0,,data
7,74,1.0,,data
8,74,1.0,,data
9,74,1.0,,data
0,75,0.0,0.09090909090909091,data
1,75,0.0,,data
2,75,0.0,,data
3,75,1.0,0.02857142857142857,data
4,75,1.0,,data
5,75,1.0,,data
6,75,1.0,,data
7,75,1.0,,data
8,75,1.0,,data
9,75,1.0,,data
0,76,0.0,0.0867579908675799,data
1,76,0.0,,data
2,76,0.0,,data
3,76,1.0,0.027777777777777776,data
4,76,1.0,,data
5,76,1.0,,data
6,76,1.0,,data
7,76,1.0,,data
8,76,1.0,,data
9,76,1.0,,data
0,77,0.0,0.13966480446927373,data
1,77,0.0,,data
2,77,0.0,,data
3,77,1.0,0.015873015873015872,data
4,77,1.0,,data
5,77,1.0,,data
6,77,1.0,,data
7,77,1.0,,data
8,77,1.0,,data
9,77,1.0,,data
0,78,0.0,0.059800664451827246,data
1,78,0.0,,data
2,78,0.0,,data
3,78,1.0,0.04328358208955224,data
4,78,1.0,,data
5,78,1.0,,data
6,78,1.0,,data
7,78,1.0,,data
