subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
34,8,227.78590556869085,free_3_shared_support_Semantic_CMR,0.47129765545998004,0.06581148958167754,0.048389914835721304,0.034189759555681765,0.11143867006431407,0.14786658329649438,0.42001488111159274,0.7202986175479439,0.22567689830435,27.42407495760001,0.005392572548699903,0.4496477770024452,0.4157648600850168,1.7778052356398,2.930286708469696,0.37257098934229177,0.2688103424105517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,313.71713765370464,free_3_shared_support_Semantic_CMR,0.6137717197940846,0.39092894283299245,0.8693277746758536,0.8660943866433839,0.8219875230265112,0.5575433615436894,0.5482273747494149,0.3164293313867794,0.20109767075356189,71.41228704692175,0.0018545900237226798,0.3632461656127166,0.3110923067101652,4.521725705823383,5.014624722240785,0.5754596847733686,1.4419116451367957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.02141338050924,free_3_shared_support_Semantic_CMR,0.7794647202646424,0.07982243242336545,0.13923079004640498,0.9795803786530997,0.40198114474221297,0.6676403022443399,0.7537613151600803,0.8175423234604158,2.862374241351908,35.4180630155549,0.0063677428508392975,0.5707548702561942,0.48209942280306883,4.693044915495427,4.434584921747144,0.32105660452193374,0.09935939154466045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,277.8289109025728,free_3_shared_support_Semantic_CMR,0.8321949352572715,0.8819643021936754,0.18322539119507214,0.9832391220595961,0.39698674865654987,0.28580174671379777,0.23305871315464338,0.13407339221779896,7.368532014257113,74.76425981224646,0.012289189689796698,0.3859288708738866,0.22469024872154986,1.8708441608895416,1.7581354748628772,0.7681482090409024,0.40721331905728775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,263.07690516549394,free_3_shared_support_Semantic_CMR,0.33715890928485226,0.1578105211156725,0.5141688170399265,0.14026713805537155,0.9110407047253135,0.4860689791198157,0.20868694180941605,0.33607792799700764,15.861859392581287,77.09423272243134,0.007995376936992094,0.402999283665598,0.40383698834434245,2.2710510198261207,2.1195219393245237,0.7824323438677665,9.33455329096444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,362.49816566265815,free_3_shared_support_Semantic_CMR,0.7037375319236294,0.21522603021318615,0.033559728850160286,0.5874343134708945,0.7005039722433851,0.7931560225006861,0.33581423075556993,0.08520829456324741,11.537976527129736,0.7635203364098402,0.0035190513414083413,0.3102751793253571,0.23490256406489074,2.3072975222484904,3.6843036004764795,0.49984846785073367,2.5637720440036604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.2557506979261,free_3_shared_support_Semantic_CMR,0.8423494656311199,0.39077386671556624,0.8652019512421905,0.9219602905608326,0.16262985723057116,0.0661275671225337,0.4248542171832399,0.518879346486115,0.018803792739419123,4.418837487042602,0.018254937481976263,0.15101862820941925,0.23421803317647605,3.7630768965443884,3.2316287158008086,0.6040636801835924,0.15676355260639419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,221.02025908470014,free_3_shared_support_Semantic_CMR,0.798132416391896,0.9434786732798798,0.039834084732487285,0.9745558840785379,0.6042625000781088,0.5290788705438406,0.1462980738730773,0.5266740375110998,0.09274468065999741,42.964430174792085,0.024549687732681236,0.16797956543709436,0.13956814389555028,7.674716891805703,7.596647204923078,0.8265867525886732,0.5490030284769603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,214.4793688867967,free_3_shared_support_Semantic_CMR,0.6572736470126253,0.04090204523761898,0.2680486406465039,0.3286522695553111,0.03151287539153802,0.008399265276493817,0.7421647195866932,0.7795325959672521,16.987766425416332,49.56394204280807,0.00981233910053364,0.4356862022399426,0.19754037762863597,1.70775395773417,2.514493466337177,0.011687788036000346,2.431177337643073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.10089263164662,free_3_shared_support_Semantic_CMR,0.5482967279328905,0.027336689953938335,0.9989520407954502,0.03324655874629181,0.09801189903986698,0.4666338197701284,0.7809808263017116,0.9324362746360836,4.597716608874342,32.99823216640234,0.04155290582797271,0.3557610205420159,0.421129120459438,4.0449085353291805,5.278349263258932,0.0048721719858030805,0.3309190328047681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,214.10351263092988,free_3_shared_support_Semantic_CMR,0.792000850791475,0.21645830875408878,0.2124424527676052,0.6460020177050434,0.5334631667465969,0.6369763226947698,0.5680260559280128,0.7880913600903549,1.856192925911337,38.05226893900057,0.009333714941937299,0.31497689224714875,0.35081178625216847,4.67868476873216,6.542176669251134,0.5477249228365634,1.2269433388088458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
