subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
45,8,214.47021841734576,free_1_shared_support_Semantic_CMR,0.768095984148441,0.5271207730380967,0.622105909482223,0.6059624132788635,0.7681196669465397,0.37135342075510736,0.8276332505598083,0.7534306877110826,2.952888280968999,26.31803983145741,0.010568842247106636,0.30267553011674586,4.269311057581449,0.8120030224563214,1.3900565801142015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,298.17843051363593,free_1_shared_support_Semantic_CMR,0.8828700812176308,0.021937465713308065,0.3938296444662786,0.5396455616045747,0.5924364665649428,0.5130422414717438,0.644164546977366,0.8089161438841722,29.39200817208621,1.7627119767515746,0.0018324108721854409,0.37723475375444837,5.043665585114642,0.00041177421589796515,0.27914203395303483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,309.46581567573503,free_1_shared_support_Semantic_CMR,0.6263498935009074,0.218387088766811,0.38019334465680493,0.6572195136590293,0.10423914070184769,0.05332504429781593,0.5198040886697466,0.752726934677688,2.51887278155287,23.306759694900688,0.025579175601545746,0.07562185502374338,2.6913303876794057,0.009049545018888697,0.21815401490765837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,227.8251737309055,free_1_shared_support_Semantic_CMR,0.6336795250958099,0.06303217643400204,0.26933505334636265,0.7845338577695934,0.5288921671990748,0.7478490058627175,0.6643000328765226,0.6879801542714344,2.2642526942711507,89.44133085615341,0.015521266192138176,0.23720679467477815,7.973183438530063,0.04910862695157233,0.29649784197446655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,184.30882902979877,free_1_shared_support_Semantic_CMR,0.9820073134702888,0.2552547846727877,0.2892962175995597,0.7007640460688901,0.12976706257987902,0.2280975448868104,0.935814258587387,0.9201048236466309,6.853262570285629,58.904541459484534,0.029479839941425667,0.2610247220672388,2.5047578696403883,0.009800474452417773,0.5275512683864161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,300.3212172242362,free_1_shared_support_Semantic_CMR,0.6177495727355338,0.19841057522105449,0.10519520899441065,0.9659373334456808,0.17101188309669624,0.7794771045457096,0.15808178128862227,0.698420775355085,0.17661837918309686,30.8933026198713,0.003585102592539413,0.3615100462959191,7.117795037589817,0.757401267152276,0.4821517068091339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,275.812216522996,free_1_shared_support_Semantic_CMR,0.5389872398711449,0.0798314767636476,0.8271987650280872,0.934401696036282,0.3084889811469447,0.09450093614599353,0.17667915236927667,0.9956006984534599,1.2861248376193757,19.464943838429917,0.015490268851872657,0.16815689367396924,2.87031043190922,0.09428143977881348,1.1922417300172312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,260.6330260869649,free_1_shared_support_Semantic_CMR,0.6250482384157215,0.2537682294104893,0.5792268443431391,0.9298590696150043,0.5784616736134995,0.789698147501211,0.3176698464363566,0.4837150711906621,4.556477306192287,57.33406680589697,0.01151094040059767,0.2315650762319853,4.254182561492016,0.07405085495441374,0.44884594912316633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,263.72797698559623,free_1_shared_support_Semantic_CMR,0.7765374714909282,0.21408661100693593,0.7549700580522488,0.5564746749916986,0.5697933163046164,0.7362540264973262,0.18439664664936378,0.4892929032668623,5.652872260698125,98.2856492713527,0.01866107846535464,0.17891702202233706,9.418979352868382,0.10483983505540073,0.5442197295301829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,222.76772126422298,free_1_shared_support_Semantic_CMR,0.9322390239875036,0.007177439084262216,0.6643093613508794,0.6390128108226469,0.1006586931629419,0.4087572596524513,0.26248373879613085,0.7664587516502442,9.109356774992044,76.26598354081506,0.04100716345874866,0.14994191389496958,0.9568102314317137,0.007888396255371799,2.1345627275809598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,320.496972848975,free_1_shared_support_Semantic_CMR,0.6988805449910874,0.2638953372193583,0.5016922760947524,0.4055996260281604,0.3179275002577385,0.013664360893076544,0.9247858961081747,0.9337028599616526,37.09044642864472,1.0587693546705381,0.005834013559708695,0.24029232980846604,2.0074572747045867,0.5147610231365288,3.090807990628864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
