subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,4,45,46,3.0,True,True,0,False,46,,,60
63,4,46,47,,True,False,0,False,47,,,60
63,4,47,48,,True,False,0,False,48,,,60
63,4,48,49,1.0,True,True,0,False,49,,,60
63,4,49,50,5.0,True,True,0,False,50,,,60
63,4,50,51,,True,False,0,False,51,,,60
63,4,51,52,,True,False,0,False,52,,,60
63,4,52,53,,True,False,0,False,53,,,60
63,4,53,54,,True,False,0,False,54,,,60
63,4,54,55,,True,False,0,False,55,,,60
63,4,55,56,,True,False,0,False,56,,,60
63,4,56,57,,True,False,0,False,57,,,60
63,4,57,58,,True,False,0,False,58,,,60
63,4,58,59,,True,False,0,False,59,,,60
63,4,59,60,,True,False,0,False,60,,,60
63,5,0,1,3.0,True,True,0,False,1,,,60
63,5,1,2,,True,False,0,False,2,,,60
63,5,2,3,,True,False,0,False,3,,,60
63,5,3,4,,True,False,0,False,4,,,60
63,5,4,5,,True,False,0,False,5,,,60
63,5,5,6,,True,False,0,False,6,,,60
63,5,6,7,,True,False,0,False,7,,,60
63,5,7,8,,True,False,0,False,8,,,60
63,5,8,9,,True,False,0,False,9,,,60
63,5,9,10,,True,False,0,False,10,,,60
63,5,10,11,,True,False,0,False,11,,,60
63,5,11,12,1.0,True,True,0,False,12,,,60
63,5,12,13,8.0,True,True,0,False,13,,,60
63,5,13,14,,True,False,0,False,14,,,60
63,5,14,15,,True,False,0,False,15,,,60
63,5,15,16,,True,False,0,False,16,,,60
63,5,16,17,,True,False,0,False,17,,,60
63,5,17,18,,True,False,0,False,18,,,60
63,5,18,19,,True,False,0,False,19,,,60
63,5,19,20,,True,False,0,False,20,,,60
63,5,20,21,,True,False,0,False,21,,,60
63,5,21,22,,True,False,0,False,22,,,60
63,5,22,23,,True,False,0,False,23,,,60
63,5,23,24,,True,False,0,False,24,,,60
63,5,24,25,,True,False,0,False,25,,,60
63,5,25,26,,True,False,0,False,26,,,60
63,5,26,27,,True,False,0,False,27,,,60
63,5,27,28,,True,False,0,False,28,,,60
63,5,28,29,,True,False,0,False,29,,,60
63,5,29,30,,True,False,0,False,30,,,60
63,5,30,31,,True,False,0,False,31,,,60
63,5,31,32,4.0,True,True,0,False,32,,,60
63,5,32,33,,True,False,0,False,33,,,60
63,5,33,34,5.0,True,True,0,False,34,,,60
63,5,34,35,2.0,True,True,0,False,35,,,60
63,5,35,36,,True,False,0,False,36,,,60
63,5,36,37,,True,False,0,False,37,,,60
63,5,37,38,,True,False,0,False,38,,,60
63,5,38,39,,True,False,0,False,39,,,60
63,5,39,40,,True,False,0,False,40,,,60
63,5,40,41,,True,False,0,False,41,,,60
63,5,41,42,,True,False,0,False,42,,,60
63,5,42,43,,True,False,0,False,43,,,60
63,5,43,44,,True,False,0,False,44,,,60
63,5,44,45,,True,False,0,False,45,,,60
63,5,45,46,,True,False,0,False,46,,,60
63,5,46,47,6.0,True,True,0,False,47,,,60
63,5,47,48,9.0,True,True,0,False,48,,,60
63,5,48,49,,True,False,0,False,49,,,60
63,5,49,50,,True,False,0,False,50,,,60
63,5,50,51,,True,False,0,False,51,,,60
63,5,51,52,7.0,True,True,0,False,52,,,60
63,5,52,53,,True,False,0,False,53,,,60
63,5,53,54,,True,False,0,False,54,,,60
63,5,54,55,,True,False,0,False,55,,,60
63,5,55,56,,True,False,0,False,56,,,60
63,5,56,57,10.0,True,True,0,False,57,,,60
63,5,57,58,,True,False,0,False,58,,,60
63,5,58,59,,True,False,0,False,59,,,60
63,5,59,60,,True,False,0,False,60,,,60
63,6,0,1,,True,False,0,False,1,,,60
63,6,1,2,,True,False,0,False,2,,,60
63,6,2,3,,True,False,0,False,3,,,60
63,6,3,4,,True,False,0,False,4,,,60
63,6,4,5,,True,False,0,False,5,,,60
63,6,5,6,,True,False,0,False,6,,,60
63,6,6,7,,True,False,0,False,7,,,60
63,6,7,8,,True,False,0,False,8,,,60
63,6,8,9,,True,False,0,False,9,,,60
63,6,9,10,,True,False,0,False,10,,,60
63,6,10,11,,True,False,0,False,11,,,60
63,6,11,12,,True,False,0,False,12,,,60
63,6,12,13,,True,False,0,False,13,,,60
63,6,13,14,,True,False,0,False,14,,,60
63,6,14,15,,True,False,0,False,15,,,60
63,6,15,16,,True,False,0,False,16,,,60
63,6,16,17,,True,False,0,False,17,,,60
63,6,17,18,,True,False,0,False,18,,,60
63,6,18,19,,True,False,0,False,19,,,60
63,6,19,20,,True,False,0,False,20,,,60
63,6,20,21,,True,False,0,False,21,,,60
63,6,21,22,,True,False,0,False,22,,,60
63,6,22,23,,True,False,0,False,23,,,60
63,6,23,24,,True,False,0,False,24,,,60
63,6,24,25,,True,False,0,False,25,,,60
63,6,25,26,,True,False,0,False,26,,,60
63,6,26,27,,True,False,0,False,27,,,60
63,6,27,28,,True,False,0,False,28,,,60
63,6,28,29,,True,False,0,False,29,,,60
63,6,29,30,,True,False,0,False,30,,,60
63,6,30,31,,True,False,0,False,31,,,60
63,6,31,32,,True,False,0,False,32,,,60
63,6,32,33,,True,False,0,False,33,,,60
63,6,33,34,,True,False,0,False,34,,,60
63,6,34,35,,True,False,0,False,35,,,60
63,6,35,36,,True,False,0,False,36,,,60
63,6,36,37,,True,False,0,False,37,,,60
63,6,37,38,2.0,True,True,0,False,38,,,60
63,6,38,39,4.0,True,True,0,False,39,,,60
63,6,39,40,5.0,True,True,0,False,40,,,60
63,6,40,41,7.0,True,True,0,False,41,,,60
63,6,41,42,,True,False,0,False,42,,,60
63,6,42,43,6.0,True,True,0,False,43,,,60
63,6,43,44,,True,False,0,False,44,,,60
63,6,44,45,,True,False,0,False,45,,,60
63,6,45,46,,True,False,0,False,46,,,60
63,6,46,47,,True,False,0,False,47,,,60
63,6,47,48,,True,False,0,False,48,,,60
63,6,48,49,,True,False,0,False,49,,,60
63,6,49,50,,True,False,0,False,50,,,60
63,6,50,51,,True,False,0,False,51,,,60
63,6,51,52,,True,False,0,False,52,,,60
63,6,52,53,,True,False,0,False,53,,,60
63,6,53,54,1.0,True,True,0,False,54,,,60
63,6,54,55,3.0,True,True,0,False,55,,,60
63,6,55,56,,True,False,0,False,56,,,60
63,6,56,57,,True,False,0,False,57,,,60
63,6,57,58,,True,False,0,False,58,,,60
63,6,58,59,,True,False,0,False,59,,,60
63,6,59,60,,True,False,0,False,60,,,60
63,7,0,1,,True,False,0,False,1,,,60
63,7,1,2,,True,False,0,False,2,,,60
63,7,2,3,7.0,True,True,0,False,3,,,60
63,7,3,4,,True,False,0,False,4,,,60
63,7,4,5,,True,False,0,False,5,,,60
63,7,5,6,,True,False,0,False,6,,,60
63,7,6,7,,True,False,0,False,7,,,60
63,7,7,8,,True,False,0,False,8,,,60
63,7,8,9,,True,False,0,False,9,,,60
63,7,9,10,4.0,True,True,0,False,10,,,60
63,7,10,11,3.0,True,True,0,False,11,,,60
63,7,11,12,,True,False,0,False,12,,,60
63,7,12,13,,True,False,0,False,13,,,60
63,7,13,14,9.0,True,True,0,False,14,,,60
63,7,14,15,,True,False,0,False,15,,,60
63,7,15,16,,True,False,0,False,16,,,60
63,7,16,17,,True,False,0,False,17,,,60
63,7,17,18,,True,False,0,False,18,,,60
63,7,18,19,,True,False,0,False,19,,,60
