subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,sampling_rule,mfc_familiarity_scale,mcf_familiarity_scale,drift_familiarity_scale,context_sensitivity,feature_sensitivity
100,28,544.2157459342135,InstanceCMR,0.8052256308215688,2.220446049250313e-16,0.5948990628328316,0.005083822684682642,0.6365177934899471,0.16913514906834154,3.3787010454856445,10.406729654514166,0.008657462553498505,0.37480904496979295,1.5446244819747483,0.9999999999999998,,0,0,0,1,1
101,28,714.4916409878366,InstanceCMR,0.884653020075246,0.2691188155614482,0.8642034107540882,0.023670040722247595,0.8236427746458793,0.39957411463096004,1.0948266427101494,86.12757777322174,5.48797405652632e-05,0.6070342969605299,2.8917100653765964,0.4119907578426352,,0,0,0,1,1
102,28,598.9483752825292,InstanceCMR,0.8233205082166665,2.220446049250313e-16,0.8048235303575841,0.09650740179824899,0.9999999999999998,0.3209055940751462,1.048525523376008,1.6838783524005496,0.008795623526960589,0.31946315093613736,8.549651577606312,6.173137621696168e-10,,0,0,0,1,1
103,28,374.11798787244373,InstanceCMR,0.8768330338068476,2.220446049250313e-16,0.8854832982748821,0.035876170249575075,0.9999999999999998,0.6358989061037358,1.4046782120401033,44.136995669143694,0.03341073604284061,0.35720836749793405,2.781571381782703,8.434022622989902e-09,,0,0,0,1,1
104,28,663.9764430359427,InstanceCMR,0.8658494547864718,0.11933041003113971,0.9272029227247618,0.006344629239984816,0.5115222047228143,0.23872297146329563,3.5044469617524814,13.195809686555723,3.408736107072076e-05,0.6730693781782358,1.8396760561972776,0.9280546589887858,,0,0,0,1,1
105,28,594.5271849355929,InstanceCMR,0.9271472314541318,0.02184347668896909,0.9587450207668697,0.0007678742977379848,0.3158187114517301,0.24195469248143542,2.4492972590698336,70.19041463750828,0.0027832051793196737,0.3505518348527828,1.058149503323817,0.010439212125097755,,0,0,0,1,1
106,28,745.2681111320742,InstanceCMR,0.9075777337242933,2.220446049250313e-16,0.8807785332771877,0.020953257023051647,0.9744971042509081,0.39807599676885186,2.289788326904377,73.016160374464,3.560497749681426e-06,0.805550514160563,2.0316130711071048,0.6811823227762348,,0,0,0,1,1
107,28,591.4915573824175,InstanceCMR,0.9642642870054245,2.220446049250313e-16,0.8559233220111531,0.04983410801893447,0.9999999999999998,0.3610090833232712,0.7225485507020806,40.8720587844536,0.005487414489899597,0.35296949328904675,5.728573016678821,1.6633686223305279e-09,,0,0,0,1,1
108,28,636.8476532129316,InstanceCMR,0.8042863866413998,0.01940631233765422,0.8687258485908946,0.020706430711502292,0.9999999999999998,0.3516621497650081,3.532574595027444,19.912993378151043,0.007538390679879397,0.3129030240862025,1.9521974657951882,0.74140491156576,,0,0,0,1,1
110,28,715.9305762477622,InstanceCMR,0.7974863674455129,0.1660187847980519,0.9106900780645164,0.01195014914632831,0.9226101681517033,0.3307113394235221,3.57875028372205,1.3025306189297758,2.8341336836183276e-05,0.6698774101746957,1.8186929460961678,0.6573568045436591,,0,0,0,1,1
111,28,707.5682625477805,InstanceCMR,0.869950526933073,0.4415285085008914,0.9142509158693797,0.015355289275897554,0.5620710077138346,0.21931750852230564,0.8547456757381299,16.769493021985774,0.0007480181416668271,0.5141486599648867,2.146165527269394,0.4401911444151528,,0,0,0,1,1
112,28,618.4043856433346,InstanceCMR,0.8703503102764844,2.220446049250313e-16,0.9622947536175378,0.0018709034955187956,0.22267299849067562,0.08712355077616024,3.9845525339298544,36.40817502531629,0.00819155794127168,0.2548844208736163,1.370564710421997,0.4947371878663417,,0,0,0,1,1
113,28,528.9318514976848,InstanceCMR,0.8464680302038876,2.220446049250313e-16,0.7932978113123321,0.05474210010492658,0.9999999999999998,0.645749396903385,0.8906612164560398,20.558207226116544,0.016789189304290887,0.27827466278086266,4.456497039482401,0.007301316212845484,,0,0,0,1,1
114,28,575.4047513650931,InstanceCMR,0.8840296960455531,0.07233113090253122,0.9511013400270576,0.008051661691529289,0.5804621389381774,0.2180506364157178,1.7500090541412248,37.72489099845004,0.013246052654648502,0.29519342532042525,1.5577074165566762,0.9684523244944299,,0,0,0,1,1
115,28,614.7897567318144,InstanceCMR,0.9202933541146074,2.220446049250313e-16,0.8979324661635856,0.02108039288667774,0.9999999999999998,0.6338650748520166,1.1748424473337644,51.536955784699565,0.0016146248571773404,0.43643365007084733,2.2630497330939656,9.209237096131415e-09,,0,0,0,1,1
117,28,615.1244645094445,InstanceCMR,0.582546298125611,2.220446049250313e-16,0.9752315417468049,0.0008137601810270585,0.4497435251543492,0.1497922538766355,3.4195232702053766,0.5548533708463371,0.0035866396957028902,0.3753692331618117,1.9369912746657587,0.9999999999999998,,0,0,0,1,1
118,28,395.8282154186163,InstanceCMR,0.9813293131908584,2.220446049250313e-16,0.8548458777039742,0.011587938306478767,0.8027896737628557,0.6296768025844651,4.120962481879855,46.5027173604033,0.02606144949947483,0.3039411510063429,2.103030589899319,0.15252930288820454,,0,0,0,1,1
119,28,655.5385344202499,InstanceCMR,0.9899187500161739,2.220446049250313e-16,0.7361242675045279,0.0024340819156601573,0.2945749176436255,0.9999999999999998,2.044476454602218,75.4719447943731,0.0020432077899880784,0.429234436101791,1.3068212329511453,0.9998881173354006,,0,0,0,1,1
120,28,483.53381183345164,InstanceCMR,0.9829535878057771,2.220446049250313e-16,0.9638038596524593,2.3245478299685785e-06,0.0009833831738443012,0.0010993207328077298,7.192930610879201,76.97903207437128,0.017696703762729783,0.3905959593350063,0.5641081073733204,2.3591867186954243e-06,,0,0,0,1,1
122,28,682.2207177687792,InstanceCMR,0.858625942450936,0.014434808460617602,0.521661597434627,0.010174261263580054,0.6630846185342594,0.2988203725811979,2.3851366672926804,11.407764940774488,0.006621954431473644,0.3130987350737668,1.6802239663760379,0.998722412722278,,0,0,0,1,1
